# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.002665729,0.0552,0.4185,-0.9218,1.014
0.012196823,0.0645,0.4161,-0.9194,1.011
0.014753334,0.0684,0.4141,-0.9194,1.011
0.018641823,0.0630,0.4205,-0.9111,1.005
0.024202865,0.0591,0.4244,-0.9087,1.005
0.028334792,0.0562,0.4264,-0.9170,1.013
0.030851511,0.0532,0.4259,-0.9165,1.012
0.033426719,0.0552,0.4224,-0.9170,1.011
0.037886146,0.0547,0.4259,-0.9165,1.012
0.040697969,0.0527,0.4293,-0.9228,1.019
0.043239323,0.0576,0.4239,-0.9248,1.019
0.048160209,0.0557,0.4254,-0.9238,1.019
0.051963386,0.0557,0.4254,-0.9194,1.015
0.05607724,0.0562,0.4209,-0.9218,1.015
0.059220417,0.0512,0.4214,-0.9199,1.013
0.062959323,0.0527,0.4219,-0.9253,1.018
0.065568229,0.0527,0.4195,-0.9253,1.017
0.068827813,0.0552,0.4224,-0.9248,1.018
0.071677396,0.0522,0.4229,-0.9218,1.016
0.076075157,0.0557,0.4190,-0.9248,1.017
0.080547136,0.0552,0.4175,-0.9223,1.014
0.085324896,0.0547,0.4126,-0.9199,1.010
0.088515261,0.0522,0.4151,-0.9218,1.012
0.092354167,0.0552,0.4131,-0.9223,1.012
0.095283386,0.0557,0.4131,-0.9238,1.013
0.100178438,0.0512,0.4185,-0.9258,1.017
0.103210052,0.0507,0.4136,-0.9243,1.014
0.107684636,0.0488,0.4170,-0.9277,1.018
0.110337188,0.0493,0.4180,-0.9253,1.017
0.113157448,0.0478,0.4185,-0.9243,1.016
0.118899011,0.0463,0.4151,-0.9253,1.015
0.130486094,0.0449,0.4092,-0.9301,1.017
0.134128594,0.0488,0.4112,-0.9282,1.016
0.141923177,0.0522,0.4131,-0.9253,1.015
0.144421042,0.0517,0.4122,-0.9258,1.015
0.14700099,0.0522,0.4112,-0.9287,1.017
0.150531302,0.0502,0.4082,-0.9282,1.015
0.15437,0.0488,0.4073,-0.9272,1.014
0.159947865,0.0532,0.4014,-0.9253,1.010
0.164230938,0.0507,0.4038,-0.9262,1.012
0.166744375,0.0507,0.3990,-0.9262,1.010
0.171921146,0.0532,0.4009,-0.9272,1.012
0.174552396,0.0512,0.4043,-0.9345,1.020
0.179424479,0.0537,0.4092,-0.9350,1.022
0.184246875,0.0562,0.4082,-0.9433,1.029
0.188256719,0.0542,0.4073,-0.9409,1.027
0.191005677,0.0557,0.4053,-0.9468,1.031
0.194619219,0.0547,0.4073,-0.9453,1.031
0.199525209,0.0463,0.4024,-0.9526,1.035
0.204838177,0.0439,0.4024,-0.9551,1.037
0.209204636,0.0429,0.4048,-0.9482,1.032
0.211737656,0.0439,0.4024,-0.9472,1.030
0.214484584,0.0454,0.4009,-0.9492,1.031
0.218866719,0.0439,0.3985,-0.9458,1.027
0.22277099,0.0463,0.4029,-0.9389,1.023
0.226987292,0.0512,0.3985,-0.9370,1.019
0.232369375,0.0557,0.3990,-0.9375,1.020
0.237204011,0.0615,0.4068,-0.9223,1.010
0.240846875,0.0654,0.3980,-0.9209,1.005
0.243902448,0.0625,0.3975,-0.9175,1.002
0.248611823,0.0562,0.3999,-0.9092,0.995
0.253479531,0.0557,0.4009,-0.9092,0.995
0.258635938,0.0527,0.4014,-0.9043,0.991
0.262863125,0.0527,0.4009,-0.9062,0.992
0.267963854,0.0581,0.4024,-0.9126,0.999
0.271305677,0.0615,0.4014,-0.9155,1.002
0.275344479,0.0591,0.4034,-0.9199,1.006
0.278308542,0.0620,0.3999,-0.9194,1.005
0.2865275,0.0654,0.4014,-0.9199,1.006
0.290348125,0.0606,0.3951,-0.9199,1.003
0.298437084,0.0645,0.3921,-0.9209,1.003
0.303671875,0.0620,0.3887,-0.9175,0.998
0.307203438,0.0586,0.3858,-0.9165,0.996
0.310421875,0.0557,0.3892,-0.9170,0.998
0.31474875,0.0527,0.3838,-0.9189,0.997
0.318094583,0.0512,0.3858,-0.9165,0.996
0.323242917,0.0507,0.3897,-0.9228,1.003
0.325913073,0.0566,0.3907,-0.9184,1.000
0.329562813,0.0576,0.3926,-0.9228,1.005
0.333729948,0.0576,0.3931,-0.9209,1.003
0.344690677,0.0532,0.3907,-0.9204,1.001
0.349113594,0.0527,0.3902,-0.9326,1.012
0.352307813,0.0557,0.3868,-0.9360,1.014
0.357362031,0.0547,0.3858,-0.9336,1.012
0.360908021,0.0596,0.3794,-0.9306,1.007
0.364255677,0.0606,0.3809,-0.9336,1.010
0.366748438,0.0606,0.3838,-0.9321,1.010
0.37069974,0.0547,0.3838,-0.9345,1.012
0.374034011,0.0625,0.3794,-0.9297,1.006
0.376582969,0.0625,0.3794,-0.9277,1.004
0.381238229,0.0664,0.3838,-0.9253,1.004
0.384071615,0.0625,0.3838,-0.9233,1.002
0.387567604,0.0689,0.3843,-0.9223,1.002
0.390840469,0.0645,0.3819,-0.9204,0.999
0.39362099,0.0664,0.3833,-0.9209,1.000
