# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.002214271,0.0928,0.8138,-0.6150,1.024
0.009638855,0.0791,0.8187,-0.5685,1.000
0.012229844,0.0889,0.8133,-0.5685,0.996
0.016911511,0.0889,0.8123,-0.5724,0.998
0.024487761,0.0923,0.8119,-0.5773,1.000
0.029662761,0.0957,0.8070,-0.5817,0.999
0.03401073,0.0977,0.8079,-0.5842,1.002
0.039463542,0.0967,0.8133,-0.5872,1.008
0.043970469,0.0913,0.8104,-0.5867,1.005
0.046700469,0.0903,0.8104,-0.5847,1.003
0.05141224,0.0899,0.8089,-0.5842,1.002
0.0539175,0.0923,0.8075,-0.5857,1.002
0.056428073,0.0903,0.8084,-0.5886,1.004
0.059334896,0.0864,0.8079,-0.5881,1.003
0.063703334,0.0884,0.8099,-0.5867,1.004
0.066386146,0.0884,0.8084,-0.5901,1.005
0.071094896,0.0903,0.8109,-0.5935,1.009
0.080705782,0.0884,0.8084,-0.5950,1.008
0.083414115,0.0928,0.8075,-0.5955,1.008
0.086050625,0.0913,0.8070,-0.5964,1.008
0.090136146,0.0952,0.8075,-0.6013,1.011
0.092721771,0.0923,0.8031,-0.6018,1.008
0.095640261,0.0899,0.8060,-0.6047,1.012
0.101308802,0.0918,0.8114,-0.6047,1.016
0.106540209,0.0957,0.8089,-0.6003,1.012
0.110636146,0.0933,0.8084,-0.5999,1.011
0.11324724,0.0933,0.8070,-0.6028,1.012
0.119494636,0.0918,0.8070,-0.5964,1.008
0.127157709,0.0913,0.8114,-0.5969,1.011
0.13133698,0.0889,0.8045,-0.6008,1.008
0.136549323,0.0879,0.8050,-0.6008,1.008
0.14407198,0.0913,0.8089,-0.5916,1.006
0.147580052,0.0850,0.8089,-0.5974,1.009
0.152514219,0.0894,0.8089,-0.5959,1.009
0.155465209,0.0889,0.8109,-0.5959,1.010
0.16042974,0.0894,0.8075,-0.5984,1.009
0.165277292,0.0899,0.8109,-0.6013,1.013
0.170053073,0.0889,0.8075,-0.6057,1.013
0.173031615,0.0913,0.8045,-0.6086,1.013
0.177215834,0.0869,0.8045,-0.6077,1.012
0.179999063,0.0889,0.7992,-0.6077,1.008
0.18467849,0.0835,0.8094,-0.6067,1.015
0.187980417,0.0869,0.8070,-0.6082,1.014
0.192103646,0.0894,0.8065,-0.6072,1.013
0.194625157,0.0859,0.8055,-0.6096,1.014
0.199350209,0.0864,0.8026,-0.6067,1.010
0.202106667,0.0884,0.8060,-0.6067,1.013
0.206495417,0.0884,0.8016,-0.6111,1.012
0.209676042,0.0864,0.7982,-0.6135,1.010
0.2140825,0.0850,0.7982,-0.6116,1.009
0.216655625,0.0840,0.8001,-0.6126,1.011
0.219524323,0.0859,0.8001,-0.6155,1.013
0.22761,0.0859,0.8006,-0.6101,1.010
0.231269792,0.0918,0.8006,-0.6165,1.015
0.234163646,0.0947,0.8031,-0.6189,1.018
0.238981042,0.0952,0.8001,-0.6204,1.017
0.2417525,0.0942,0.7982,-0.6243,1.018
0.246036875,0.0899,0.7938,-0.6243,1.014
0.251313542,0.0908,0.7987,-0.6292,1.021
0.254443594,0.0938,0.7952,-0.6306,1.019
0.259244219,0.0967,0.7962,-0.6389,1.025
0.263684636,0.0952,0.7982,-0.6409,1.028
0.268760157,0.0952,0.7972,-0.6399,1.027
0.271469063,0.0967,0.7987,-0.6399,1.028
0.27617698,0.0967,0.7972,-0.6379,1.026
0.280936146,0.0962,0.8001,-0.6399,1.029
0.286116927,0.0933,0.7972,-0.6316,1.021
0.290499844,0.0918,0.7972,-0.6301,1.020
0.293283386,0.0830,0.7992,-0.6238,1.017
0.298157604,0.0796,0.7962,-0.6209,1.013
0.300681667,0.0776,0.7967,-0.6160,1.010
0.303549688,0.0796,0.8006,-0.6179,1.014
0.30821724,0.0796,0.8104,-0.6145,1.020
0.312913438,0.0786,0.7982,-0.6067,1.006
0.317382396,0.0830,0.7918,-0.6130,1.005
0.320341459,0.0845,0.7948,-0.6140,1.008
0.326772188,0.0850,0.7913,-0.6165,1.007
0.330249532,0.0918,0.7923,-0.6189,1.010
0.335642344,0.0928,0.7982,-0.6189,1.014
0.341357709,0.0923,0.8006,-0.6223,1.018
0.344798177,0.0942,0.8065,-0.6194,1.021
0.349655469,0.0859,0.8094,-0.6145,1.020
0.352265521,0.0884,0.8089,-0.6106,1.017
0.354999948,0.0884,0.8084,-0.6121,1.018
0.357668907,0.0874,0.8016,-0.6130,1.013
0.362292188,0.0869,0.8050,-0.6111,1.014
0.367234063,0.0850,0.7967,-0.6096,1.007
0.370104896,0.0845,0.7962,-0.6072,1.005
0.374811979,0.0864,0.8001,-0.6086,1.009
0.379605782,0.0918,0.7982,-0.6111,1.009
0.384632136,0.0864,0.7952,-0.6121,1.007
0.389045834,0.0908,0.7987,-0.6140,1.011
0.391924479,0.0908,0.7992,-0.6126,1.011
0.394544532,0.0913,0.8006,-0.6096,1.010
0.398854948,0.0899,0.7757,-0.5984,0.984
0.40207375,0.1094,0.7542,-0.5916,0.965
0.405418854,0.1011,0.7801,-0.6042,0.992
0.409446563,0.0693,0.8119,-0.6194,1.023
0.41390099,0.0723,0.8182,-0.6082,1.022
0.418523177,0.0615,0.8216,-0.6003,1.019
0.421890313,0.0610,0.8241,-0.5984,1.020
0.424840104,0.0596,0.8231,-0.5999,1.020
0.429155573,0.0620,0.8128,-0.5940,1.009
0.433875782,0.0581,0.8060,-0.5916,1.001
0.443057448,0.0640,0.8035,-0.5886,0.998
0.446281667,0.0645,0.8143,-0.5857,1.005
0.448763177,0.0635,0.8216,-0.5867,1.012
0.451505365,0.0659,0.8226,-0.5803,1.009
0.458518125,0.0689,0.8260,-0.5817,1.013
0.46319,0.0713,0.8304,-0.5768,1.014
0.465847032,0.0674,0.8324,-0.5759,1.014
0.471280573,0.0708,0.8265,-0.5749,1.009
0.475948386,0.0776,0.8294,-0.5759,1.013
0.480820261,0.0723,0.8250,-0.5744,1.008
0.488623854,0.0776,0.8221,-0.5852,1.012
0.493493646,0.0801,0.8226,-0.5886,1.015
0.498214688,0.0752,0.8255,-0.5916,1.018
0.504278073,0.0762,0.8206,-0.5930,1.015
0.508013542,0.0772,0.8211,-0.5994,1.020
0.510979584,0.0791,0.8187,-0.5999,1.018
0.515243802,0.0767,0.8123,-0.5999,1.013
0.517854531,0.0752,0.8167,-0.6047,1.019
0.522011927,0.0767,0.8114,-0.6062,1.016
0.525019479,0.0786,0.8109,-0.6018,1.013
0.527837969,0.0806,0.8123,-0.6042,1.016
0.532948073,0.0879,0.8094,-0.6052,1.014
0.54225875,0.0859,0.8104,-0.6042,1.015
0.545480052,0.0879,0.8094,-0.6042,1.014
0.54996974,0.0884,0.8079,-0.6018,1.011
0.559326302,0.0899,0.8065,-0.6008,1.010
0.56265224,0.0908,0.8079,-0.5955,1.008
0.567416094,0.0864,0.8123,-0.5920,1.009
0.572023802,0.0864,0.8167,-0.5950,1.014
0.577011459,0.0806,0.8265,-0.6042,1.027
0.581725938,0.0742,0.8387,-0.5959,1.032
0.585338698,0.0728,0.8402,-0.6018,1.036
0.589115156,0.0713,0.8510,-0.6106,1.050
0.591884375,0.0732,0.8475,-0.6106,1.047
0.59656599,0.0713,0.8510,-0.6150,1.052
0.602884011,0.0718,0.8559,-0.6174,1.058
0.60691125,0.0762,0.8583,-0.6213,1.062
0.61126849,0.0830,0.8455,-0.6267,1.056
0.616217709,0.0864,0.8402,-0.6155,1.045
0.621848438,0.0820,0.8338,-0.6179,1.041
0.626385365,0.0762,0.8211,-0.6082,1.025
0.631052084,0.0669,0.8123,-0.6013,1.013
0.633970104,0.0645,0.8104,-0.6013,1.011
0.641027292,0.0659,0.8060,-0.6038,1.009
0.643523125,0.0674,0.7874,-0.6062,0.996
0.648487813,0.0684,0.7835,-0.5969,0.987
0.651379688,0.0747,0.7791,-0.5984,0.985
0.65503625,0.0776,0.7786,-0.5916,0.981
0.658188698,0.0850,0.7752,-0.5822,0.973
0.663120469,0.0859,0.7791,-0.5729,0.971
0.666309167,0.0962,0.7869,-0.5661,0.974
0.669003542,0.0938,0.7889,-0.5578,0.971
0.674053698,0.1025,0.7923,-0.5422,0.966
0.678056042,0.1025,0.8035,-0.5363,0.972
0.683224688,0.1055,0.8011,-0.5197,0.961
0.686809011,0.1060,0.8011,-0.5158,0.959
0.690735261,0.1079,0.8031,-0.5070,0.956
0.695161719,0.1152,0.8040,-0.5080,0.958
0.700271615,0.1192,0.8035,-0.5138,0.961
0.703388229,0.1226,0.8021,-0.5197,0.964
0.707945834,0.1260,0.8011,-0.5217,0.964
0.712645625,0.1260,0.7996,-0.5319,0.969
0.715156979,0.1255,0.8011,-0.5314,0.970
0.720898125,0.1172,0.7977,-0.5353,0.968
0.72497125,0.1177,0.7938,-0.5397,0.967
0.729702031,0.1109,0.7923,-0.5383,0.964
0.732800625,0.1035,0.7918,-0.5441,0.966
0.742025781,0.1001,0.7850,-0.5519,0.965
0.744919948,0.0986,0.7835,-0.5549,0.965
0.747530625,0.1025,0.7806,-0.5583,0.965
0.765786771,0.1069,0.7855,-0.5583,0.970
0.774621302,0.1123,0.7909,-0.5911,0.994
0.778933854,0.1069,0.7860,-0.6228,1.008
0.781493802,0.1035,0.7830,-0.6257,1.008
0.784354948,0.1025,0.7821,-0.6326,1.011
0.789043177,0.0982,0.7806,-0.6453,1.018
0.79380349,0.0996,0.7850,-0.6526,1.026
0.796412083,0.1001,0.7855,-0.6589,1.030
0.801684167,0.1045,0.7889,-0.6707,1.041
0.806366667,0.1035,0.7904,-0.6843,1.051
