# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001851614,-0.0607,0.5471,-0.9311,1.082
0.007394479,-0.0186,0.5510,-0.9126,1.066
0.016348646,-0.0084,0.5656,-0.8969,1.060
0.020051562,0.0136,0.5485,-0.8788,1.036
0.022824687,0.0165,0.5378,-0.8725,1.025
0.028177344,0.0156,0.5299,-0.8578,1.008
0.031837135,0.0175,0.5294,-0.8529,1.004
0.034790208,0.0214,0.5309,-0.8539,1.006
0.040063229,0.0234,0.5339,-0.8480,1.002
0.043705937,0.0224,0.5339,-0.8480,1.002
0.051019948,0.0239,0.5289,-0.8500,1.001
0.055162604,0.0053,0.5211,-0.8412,0.990
0.060626562,-0.0005,0.5245,-0.8393,0.990
0.064099635,-0.0084,0.5240,-0.8446,0.994
0.067289792,-0.0069,0.5231,-0.8363,0.986
0.069882344,-0.0084,0.5275,-0.8373,0.990
0.075136979,-0.0035,0.5324,-0.8446,0.998
0.077844167,0.0019,0.5383,-0.8471,1.004
0.08451776,0.0058,0.5373,-0.8607,1.015
0.087129427,0.0112,0.5397,-0.8793,1.032
0.08970625,0.0156,0.5368,-0.8881,1.038
0.093617344,0.0165,0.5353,-0.8974,1.045
0.097148021,0.0229,0.5314,-0.9209,1.063
0.10192375,0.0283,0.5275,-0.9370,1.076
0.107023281,0.0331,0.5245,-0.9463,1.082
0.113404896,0.0395,0.5275,-0.9487,1.086
0.117157969,0.0395,0.5206,-0.9428,1.078
0.122183802,0.0434,0.5182,-0.9360,1.071
0.127047135,0.0375,0.5231,-0.9272,1.065
0.131881094,0.0346,0.5236,-0.9179,1.057
0.136000052,0.0341,0.5211,-0.9175,1.056
0.142302239,0.0312,0.5255,-0.9077,1.049
0.146244896,0.0312,0.5216,-0.9111,1.050
0.148958385,0.0327,0.5177,-0.9126,1.050
0.153604844,0.0322,0.5192,-0.9096,1.048
0.156177604,0.0283,0.5182,-0.9111,1.049
0.160542656,0.0283,0.5192,-0.9170,1.054
0.164153958,0.0278,0.5211,-0.9135,1.052
0.16863776,0.0219,0.5236,-0.9204,1.059
0.17114651,0.0209,0.5260,-0.9179,1.058
0.17644625,0.0156,0.5182,-0.9204,1.056
0.180980104,0.0092,0.5118,-0.9140,1.048
0.184456198,0.0053,0.5074,-0.9087,1.041
0.188521614,-0.0098,0.5060,-0.9062,1.038
0.19322375,-0.0245,0.5006,-0.9033,1.033
0.196218333,-0.0328,0.5035,-0.9043,1.036
0.200566094,-0.0528,0.4972,-0.8891,1.020
0.205404062,-0.0656,0.5133,-0.8778,1.019
0.217323385,-0.0695,0.5177,-0.8671,1.012
0.22011125,-0.0430,0.5279,-0.8715,1.020
0.236799166,-0.0362,0.5196,-0.8744,1.018
