# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001195833,0.0908,0.5079,0.7805,0.936
0.005634166,0.0747,0.5021,0.8089,0.955
0.011897448,0.0728,0.5026,0.8133,0.959
0.01465901,0.0703,0.5167,0.8230,0.974
0.018116041,0.0659,0.5226,0.8377,0.990
0.023655573,0.0659,0.5294,0.8533,1.006
0.027251666,0.0630,0.5339,0.8631,1.017
0.030673541,0.0772,0.5485,0.8704,1.032
0.035516927,0.0820,0.5495,0.8792,1.040
0.040137135,0.0923,0.5490,0.8743,1.036
0.042937812,0.0947,0.5505,0.8748,1.038
0.045822552,0.0933,0.5524,0.8787,1.042
0.049988906,0.1030,0.5466,0.8762,1.038
0.052531093,0.1030,0.5417,0.8865,1.044
0.056864062,0.1006,0.5348,0.8846,1.039
0.059847343,0.1021,0.5314,0.8870,1.039
0.064765573,0.1006,0.5265,0.8772,1.028
0.067528854,0.0986,0.5240,0.8753,1.025
0.073073802,0.0918,0.5211,0.8728,1.021
0.079099062,0.0928,0.5265,0.8704,1.021
0.082261718,0.0869,0.5324,0.8640,1.019
0.087244791,0.0757,0.5378,0.8572,1.015
0.089754427,0.0820,0.5392,0.8484,1.009
0.093882916,0.0684,0.5480,0.8401,1.005
0.096531823,0.0693,0.5519,0.8343,1.003
0.099411666,0.0669,0.5519,0.8313,1.000
0.104084531,0.0669,0.5554,0.8220,0.994
0.109638541,0.0664,0.5563,0.8186,0.992
0.113630104,0.0689,0.5544,0.8128,0.986
0.116155364,0.0698,0.5500,0.8128,0.984
0.119267239,0.0732,0.5480,0.8113,0.982
0.123966041,0.0801,0.5436,0.8074,0.977
0.126662031,0.0869,0.5431,0.8064,0.976
0.129588385,0.0869,0.5402,0.8133,0.980
0.134183541,0.0957,0.5329,0.8172,0.980
0.138970312,0.0982,0.5289,0.8235,0.984
0.142561198,0.0967,0.5245,0.8260,0.983
0.146350104,0.0991,0.5245,0.8343,0.990
0.15118651,0.0967,0.5240,0.8367,0.992
0.156191718,0.0928,0.5206,0.8469,0.998
0.159033281,0.0967,0.5196,0.8406,0.993
0.164326927,0.0986,0.5250,0.8435,0.998
0.168554114,0.0962,0.5240,0.8401,0.995
0.178094948,0.0923,0.5231,0.8347,0.989
0.181082291,0.0899,0.5260,0.8299,0.987
0.183799531,0.0923,0.5255,0.8299,0.987
0.188216979,0.0913,0.5250,0.8313,0.987
0.191408073,0.0918,0.5294,0.8313,0.990
0.195854479,0.0903,0.5216,0.8294,0.984
0.200763125,0.0899,0.5270,0.8216,0.980
0.205930364,0.0903,0.5279,0.8172,0.977
0.208947031,0.0938,0.5265,0.8113,0.972
0.213043645,0.0938,0.5216,0.8079,0.966
0.218202604,0.0884,0.5206,0.8069,0.964
0.220756458,0.0879,0.5187,0.8084,0.964
0.223257239,0.0908,0.5192,0.8079,0.965
