# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001751771,0.1646,0.4610,0.8528,0.983
0.006063073,0.2091,0.4219,0.8396,0.963
0.012431458,0.1988,0.4087,0.8684,0.980
0.020885781,0.1847,0.4048,0.8948,0.999
0.024374062,0.1749,0.4122,0.9090,1.013
0.027588229,0.1690,0.4161,0.9164,1.020
0.0315075,0.1705,0.4200,0.9144,1.021
0.036560625,0.1627,0.4269,0.9134,1.021
0.04189651,0.1685,0.4337,0.8987,1.012
0.051755677,0.1671,0.4317,0.8963,1.009
0.054375677,0.1724,0.4293,0.8719,0.987
0.060423906,0.1744,0.4293,0.8665,0.983
0.064186771,0.1817,0.4219,0.8533,0.969
0.068651771,0.1822,0.4180,0.8450,0.960
0.073352969,0.1729,0.4205,0.8421,0.957
0.076350625,0.1739,0.4214,0.8426,0.958
0.080798646,0.1572,0.4347,0.8386,0.958
0.083382187,0.1524,0.4352,0.8416,0.960
0.08597125,0.1524,0.4410,0.8445,0.965
0.090760833,0.1402,0.4508,0.8460,0.969
0.094627552,0.1362,0.4513,0.8504,0.972
0.098429427,0.1255,0.4615,0.8474,0.973
0.103099219,0.1201,0.4576,0.8562,0.978
0.105999635,0.1206,0.4576,0.8582,0.980
0.110405781,0.1255,0.4596,0.8621,0.985
0.113137396,0.1265,0.4571,0.8626,0.984
0.11782151,0.1358,0.4537,0.8655,0.987
0.120331562,0.1362,0.4532,0.8655,0.986
0.123712396,0.1367,0.4523,0.8592,0.981
0.126996927,0.1367,0.4518,0.8621,0.983
0.130537864,0.1353,0.4542,0.8626,0.984
0.135982656,0.1148,0.4635,0.8401,0.966
0.140507917,0.1216,0.4381,0.8489,0.963
0.143701667,0.1245,0.4376,0.8450,0.960
0.147813333,0.1250,0.4469,0.8343,0.955
0.152636458,0.1279,0.4415,0.8318,0.950
0.157868698,0.1279,0.4449,0.8323,0.952
0.160784219,0.1314,0.4444,0.8352,0.955
0.165139739,0.1343,0.4479,0.8338,0.956
0.167697604,0.1328,0.4527,0.8318,0.956
0.170614948,0.1348,0.4552,0.8333,0.959
0.176336302,0.1260,0.4640,0.8230,0.953
