# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.002135104,0.0087,0.5622,0.8665,1.033
0.006661042,0.0038,0.5568,0.8264,0.997
0.011732709,0.0038,0.5607,0.8216,0.995
0.014489219,0.0058,0.5617,0.8191,0.993
0.020441771,0.0117,0.5627,0.8240,0.998
0.023986511,0.0126,0.5602,0.8201,0.993
0.026669844,0.0146,0.5573,0.8235,0.994
0.029147136,0.0156,0.5549,0.8230,0.993
0.037579219,0.0170,0.5514,0.8152,0.984
0.040927552,0.0244,0.5431,0.8059,0.972
0.044446146,0.0268,0.5368,0.8025,0.966
0.048022656,0.0283,0.5358,0.8054,0.968
0.052710469,0.0268,0.5339,0.8025,0.964
0.056982448,0.0331,0.5314,0.7991,0.960
0.059723542,0.0454,0.5324,0.7981,0.960
0.063857396,0.0488,0.5363,0.7922,0.958
0.068349688,0.0557,0.5378,0.7907,0.958
0.070941667,0.0586,0.5441,0.7839,0.956
0.07452625,0.0527,0.5461,0.7888,0.961
0.078487761,0.0591,0.5505,0.7834,0.959
0.084926042,0.0684,0.5597,0.7844,0.966
0.090598698,0.0703,0.5656,0.7780,0.964
0.095809167,0.0689,0.5646,0.7736,0.960
0.101731615,0.0693,0.5666,0.7717,0.960
0.105463542,0.0659,0.5627,0.7732,0.958
0.110071042,0.0635,0.5612,0.7834,0.966
0.112658594,0.0586,0.5612,0.7888,0.970
0.115206875,0.0522,0.5661,0.7898,0.973
0.118602448,0.0527,0.5607,0.7981,0.977
0.12309974,0.0517,0.5588,0.8093,0.985
0.127250521,0.0483,0.5607,0.8211,0.995
0.132897136,0.0449,0.5627,0.8240,0.999
0.135665052,0.0449,0.5646,0.8299,1.005
0.139962188,0.0444,0.5681,0.8303,1.007
0.144857344,0.0434,0.5744,0.8260,1.007
0.155472448,0.0429,0.5754,0.8235,1.006
0.159873542,0.0434,0.5715,0.8035,0.987
0.164829063,0.0395,0.5681,0.7991,0.981
0.173000938,0.0395,0.5681,0.7922,0.976
0.176975469,0.0253,0.5695,0.7907,0.975
0.179785313,0.0180,0.5661,0.7907,0.973
0.183872708,0.0161,0.5705,0.7962,0.980
0.186729948,0.0087,0.5720,0.8035,0.986
0.189304427,0.0073,0.5720,0.8079,0.990
0.191891927,0.0014,0.5749,0.8176,1.000
0.194397136,0.0043,0.5773,0.8220,1.005
0.200689844,-0.0035,0.5749,0.8328,1.012
0.204221927,0.0004,0.5773,0.8347,1.015
0.206984219,0.0014,0.5783,0.8382,1.018
0.211268021,0.0019,0.5715,0.8382,1.014
0.214551458,0.0029,0.5764,0.8391,1.018
0.21773599,0.0029,0.5705,0.8445,1.019
0.221701198,0.0112,0.5685,0.8421,1.016
0.224554636,0.0058,0.5656,0.8367,1.010
0.229142604,-0.0015,0.5632,0.8386,1.010
0.232147292,0.0126,0.5705,0.8338,1.010
0.235906146,0.0224,0.5724,0.8333,1.011
0.238967656,0.0390,0.5661,0.8245,1.001
0.243896406,0.0439,0.5627,0.8137,0.990
0.246449583,0.0424,0.5612,0.8123,0.988
0.249109427,0.0405,0.5524,0.8040,0.976
0.257311771,0.0405,0.5519,0.7981,0.971
0.261030469,0.0371,0.5544,0.7952,0.970
0.263540521,0.0268,0.5583,0.8069,0.982
0.273673906,0.0273,0.5651,0.8220,0.998
0.278505261,0.0234,0.5778,0.8382,1.018
0.281193229,0.0234,0.5812,0.8377,1.020
0.284206458,0.0185,0.5793,0.8382,1.019
0.288720156,0.0239,0.5744,0.8372,1.016
0.291867969,0.0248,0.5729,0.8323,1.011
0.296314479,0.0273,0.5651,0.8333,1.007
0.302425365,0.0297,0.5637,0.8357,1.008
0.304995677,0.0292,0.5578,0.8328,1.003
0.307592656,0.0278,0.5568,0.8303,1.000
0.312961458,0.0268,0.5549,0.8279,0.997
0.317408125,0.0229,0.5529,0.8230,0.992
0.32056125,0.0175,0.5519,0.8152,0.985
0.325363542,0.0117,0.5602,0.8196,0.993
0.329848333,0.0141,0.5597,0.8245,0.997
0.333722344,0.0170,0.5568,0.8240,0.995
0.337305521,0.0278,0.5563,0.8269,0.997
0.342130625,0.0327,0.5597,0.8201,0.993
0.347537656,0.0331,0.5554,0.8113,0.984
0.354163802,0.0371,0.5519,0.8089,0.980
0.356756458,0.0361,0.5490,0.8025,0.973
0.359794948,0.0424,0.5519,0.8050,0.977
0.364161198,0.0341,0.5505,0.8015,0.973
0.370794167,0.0346,0.5632,0.8059,0.984
0.374654531,0.0385,0.5641,0.8054,0.984
0.37719224,0.0375,0.5651,0.8010,0.981
0.380734792,0.0366,0.5661,0.7991,0.980
0.384587448,0.0380,0.5685,0.7981,0.981
0.38749026,0.0336,0.5676,0.7952,0.978
0.390028854,0.0371,0.5646,0.7952,0.976
0.396134323,0.0419,0.5646,0.7917,0.973
0.400603854,0.0429,0.5588,0.7834,0.963
0.404058333,0.0395,0.5646,0.7751,0.960
0.406561875,0.0429,0.5617,0.7790,0.961
0.411079271,0.0410,0.5632,0.7819,0.965
0.414133281,0.0444,0.5646,0.7849,0.968
0.416759323,0.0444,0.5695,0.7917,0.976
0.421396198,0.0454,0.5715,0.7952,0.980
0.423977708,0.0454,0.5729,0.7932,0.980
0.426515729,0.0468,0.5734,0.7907,0.978
0.429145156,0.0449,0.5764,0.7907,0.980
0.432982031,0.0424,0.5739,0.7907,0.978
0.436407813,0.0414,0.5778,0.7922,0.981
0.439290208,0.0444,0.5754,0.7957,0.983
0.443599479,0.0444,0.5705,0.7996,0.983
0.446307813,0.0434,0.5739,0.8059,0.990
0.452287604,0.0444,0.5729,0.8098,0.993
0.455811823,0.0424,0.5690,0.8245,1.003
0.458546823,0.0419,0.5710,0.8211,1.001
0.463463542,0.0454,0.5681,0.8167,0.996
0.467786667,0.0419,0.5695,0.8220,1.001
0.470684063,0.0395,0.5671,0.8191,0.997
0.475518385,0.0336,0.5710,0.8176,0.998
0.478194219,0.0327,0.5666,0.8176,0.995
0.483307188,0.0234,0.5690,0.8186,0.997
0.487706823,0.0244,0.5700,0.8123,0.993
0.490383906,0.0253,0.5690,0.8152,0.994
0.493004531,0.0273,0.5681,0.8186,0.997
0.498963021,0.0312,0.5715,0.8133,0.994
0.502720104,0.0327,0.5729,0.8128,0.995
0.50769875,0.0375,0.5764,0.8103,0.995
0.513229583,0.0410,0.5759,0.8050,0.991
0.517630833,0.0449,0.5724,0.8010,0.986
0.522795417,0.0497,0.5705,0.7962,0.981
0.527600417,0.0483,0.5661,0.7941,0.976
0.533095625,0.0488,0.5700,0.7967,0.981
0.537357917,0.0429,0.5715,0.8010,0.985
0.540172396,0.0424,0.5739,0.8020,0.987
0.544902344,0.0390,0.5773,0.8098,0.995
0.552418437,0.0390,0.5754,0.8152,0.999
0.556196042,0.0336,0.5759,0.8230,1.005
0.559886354,0.0317,0.5695,0.8230,1.001
0.563314583,0.0302,0.5690,0.8230,1.001
0.571963906,0.0336,0.5676,0.8250,1.002
0.577004896,0.0375,0.5656,0.8338,1.008
0.580125104,0.0375,0.5656,0.8357,1.010
0.584148958,0.0361,0.5666,0.8338,1.009
0.586700833,0.0361,0.5651,0.8338,1.008
0.589269167,0.0351,0.5700,0.8391,1.015
0.591885781,0.0327,0.5676,0.8421,1.016
0.597480885,0.0297,0.5749,0.8406,1.019
0.601938594,0.0312,0.5705,0.8391,1.015
0.605363125,0.0283,0.5720,0.8386,1.016
0.608580521,0.0244,0.5724,0.8362,1.014
0.616101302,0.0273,0.5720,0.8274,1.006
0.61878401,0.0253,0.5705,0.8220,1.001
0.623453125,0.0229,0.5710,0.8108,0.992
0.6261075,0.0219,0.5705,0.8059,0.988
0.631609062,0.0268,0.5729,0.8010,0.985
0.636098698,0.0214,0.5749,0.7902,0.977
0.640574531,0.0258,0.5803,0.7912,0.982
0.643616146,0.0258,0.5739,0.7878,0.975
0.650756302,0.0248,0.5744,0.7873,0.975
0.653526302,0.0268,0.5788,0.7824,0.974
0.658445677,0.0244,0.5754,0.7780,0.968
0.66990125,0.0244,0.5729,0.7741,0.963
0.673149531,0.0219,0.5700,0.7717,0.960
0.677378542,0.0224,0.5690,0.7761,0.963
0.6808975,0.0244,0.5685,0.7785,0.964
0.684724844,0.0248,0.5666,0.7780,0.963
0.687899948,0.0312,0.5720,0.7893,0.975
0.692564792,0.0273,0.5739,0.7981,0.983
0.695095365,0.0283,0.5724,0.8054,0.989
0.697607396,0.0253,0.5749,0.8045,0.989
0.700140417,0.0195,0.5768,0.8045,0.990
0.705903073,0.0204,0.5710,0.8133,0.994
0.709353906,0.0204,0.5715,0.8206,1.000
0.714589479,0.0214,0.5700,0.8284,1.006
0.717819531,0.0209,0.5656,0.8323,1.007
0.722212969,0.0185,0.5685,0.8313,1.007
0.727292292,0.0170,0.5695,0.8289,1.006
0.730708281,0.0165,0.5661,0.8245,1.000
0.735429531,0.0136,0.5681,0.8196,0.997
0.739963906,0.0141,0.5661,0.8191,0.996
0.744499219,0.0146,0.5715,0.8225,1.002
0.75214151,0.0229,0.5729,0.8260,1.005
0.757165781,0.0136,0.5754,0.8274,1.008
0.761670052,0.0361,0.5842,0.8181,1.006
0.769065521,0.0390,0.5798,0.8118,0.998
0.772991614,0.0507,0.5754,0.8118,0.996
0.776789375,0.0552,0.5695,0.8133,0.994
0.779998646,0.0522,0.5681,0.8235,1.002
0.784011927,0.0566,0.5744,0.8264,1.008
0.786666979,0.0537,0.5764,0.8269,1.009
0.791304896,0.0454,0.5754,0.8181,1.001
0.794308594,0.0375,0.5803,0.8152,1.001
0.797022552,0.0341,0.5788,0.8167,1.002
0.801479219,0.0302,0.5759,0.8152,0.999
0.806140989,0.0224,0.5783,0.8093,0.995
0.811540573,0.0156,0.5793,0.8040,0.991
0.814583333,0.0136,0.5803,0.8030,0.991
0.81945625,0.0180,0.5827,0.8079,0.996
0.824465208,0.0327,0.5773,0.8098,0.995
0.828770625,0.0375,0.5827,0.7912,0.983
0.834327448,0.0366,0.5832,0.7732,0.969
0.838595208,0.0307,0.5886,0.7580,0.960
0.843660937,0.0302,0.5895,0.7522,0.956
0.852263021,0.0263,0.5915,0.7517,0.957
0.859384844,0.0283,0.5944,0.7468,0.955
0.861987812,0.0273,0.5934,0.7492,0.956
0.871309792,0.0278,0.5925,0.7507,0.957
0.87520125,0.0346,0.5866,0.7673,0.966
0.877860989,0.0336,0.5837,0.7678,0.965
0.880417135,0.0297,0.5807,0.7712,0.966
0.883185469,0.0292,0.5778,0.7722,0.965
0.887951354,0.0258,0.5734,0.7766,0.966
0.892120312,0.0307,0.5764,0.7947,0.982
0.896592708,0.0351,0.5739,0.8015,0.986
0.900204062,0.0424,0.5754,0.8162,1.000
