# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001602656,0.0375,0.4288,0.9207,1.016
0.005319375,0.0562,0.4112,0.9139,1.004
0.014814115,0.0566,0.4131,0.9120,1.003
0.019634636,0.0562,0.4136,0.9134,1.004
0.02296099,0.0557,0.4239,0.9159,1.011
0.026824011,0.0512,0.4254,0.9129,1.008
0.030270417,0.0483,0.4239,0.9100,1.005
0.032767344,0.0468,0.4234,0.9076,1.003
0.037536406,0.0454,0.4269,0.9032,1.000
0.043813334,0.0449,0.4283,0.8953,0.993
0.048956198,0.0463,0.4274,0.8977,0.995
0.052498802,0.0473,0.4327,0.8929,0.993
0.055240573,0.0405,0.4332,0.8885,0.989
0.058054584,0.0419,0.4332,0.8899,0.991
0.061225938,0.0449,0.4366,0.8914,0.994
0.065021823,0.0400,0.4337,0.8865,0.988
0.070842761,0.0395,0.4410,0.8880,0.992
0.075081406,0.0439,0.4386,0.8850,0.989
0.078378646,0.0444,0.4440,0.8811,0.988
0.082130469,0.0454,0.4420,0.8753,0.982
0.084819271,0.0473,0.4430,0.8738,0.981
0.089541927,0.0507,0.4376,0.8782,0.983
0.09350125,0.0507,0.4425,0.8767,0.983
0.096918333,0.0497,0.4347,0.8767,0.980
0.099609115,0.0502,0.4342,0.8797,0.982
0.104258386,0.0517,0.4342,0.8850,0.987
0.106940208,0.0493,0.4366,0.8885,0.991
0.114162136,0.0463,0.4381,0.8938,0.996
0.117025677,0.0414,0.4327,0.8924,0.993
0.121105104,0.0444,0.4357,0.8982,0.999
0.123757552,0.0414,0.4322,0.8997,0.999
0.129426563,0.0405,0.4332,0.8899,0.991
0.133567083,0.0449,0.4278,0.8924,0.991
0.138357292,0.0444,0.4313,0.8875,0.988
0.140942604,0.0463,0.4269,0.8850,0.984
0.143888854,0.0419,0.4293,0.8850,0.985
0.148706615,0.0449,0.4288,0.8797,0.980
0.153436458,0.0444,0.4317,0.8797,0.981
0.160388542,0.0444,0.4288,0.8723,0.973
0.163545156,0.0410,0.4347,0.8728,0.976
0.168137344,0.0346,0.4269,0.8714,0.971
0.171098698,0.0380,0.4298,0.8723,0.973
0.176881354,0.0331,0.4283,0.8714,0.972
0.181476302,0.0336,0.4322,0.8665,0.969
0.18642599,0.0341,0.4288,0.8684,0.969
0.193458698,0.0375,0.4269,0.8675,0.968
0.198217917,0.0361,0.4264,0.8675,0.967
0.201015313,0.0366,0.4278,0.8631,0.964
0.205915833,0.0371,0.4244,0.8626,0.962
0.2161125,0.0351,0.4278,0.8616,0.963
0.220307552,0.0380,0.4259,0.8733,0.972
0.223082552,0.0336,0.4264,0.8719,0.971
0.234591979,0.0341,0.4259,0.8748,0.974
0.237444844,0.0273,0.4269,0.8802,0.979
0.242567813,0.0317,0.4205,0.8836,0.979
0.247507604,0.0302,0.4214,0.8865,0.982
0.252277083,0.0263,0.4234,0.8938,0.989
0.257364115,0.0200,0.4254,0.8938,0.990
0.263157031,0.0224,0.4229,0.8914,0.987
0.267229583,0.0195,0.4239,0.8963,0.992
0.270227083,0.0283,0.4219,0.8968,0.991
0.276005365,0.0288,0.4264,0.9012,0.997
0.279989844,0.0371,0.4249,0.9002,0.996
0.28410526,0.0371,0.4303,0.9017,1.000
0.289389115,0.0395,0.4239,0.9007,0.996
0.292497292,0.0366,0.4254,0.8977,0.994
0.296354479,0.0361,0.4249,0.8972,0.993
0.298933542,0.0366,0.4239,0.8997,0.995
0.303703021,0.0419,0.4264,0.8987,0.996
0.306519115,0.0395,0.4259,0.8982,0.995
0.315002969,0.0375,0.4244,0.8982,0.994
0.318669219,0.0410,0.4278,0.9090,1.006
0.32138625,0.0366,0.4224,0.9100,1.004
0.336499167,0.0361,0.4209,0.9124,1.006
0.339047188,0.0405,0.4269,0.9076,1.004
0.343894896,0.0380,0.4249,0.9046,1.000
0.348633958,0.0380,0.4264,0.9071,1.003
0.35118651,0.0371,0.4274,0.9061,1.003
0.353762969,0.0380,0.4239,0.9037,0.999
0.356505417,0.0410,0.4264,0.9076,1.004
0.359201302,0.0410,0.4303,0.9066,1.004
0.363438594,0.0429,0.4278,0.9081,1.005
0.365967865,0.0454,0.4298,0.9090,1.007
0.368472604,0.0454,0.4317,0.9154,1.013
0.371159375,0.0458,0.4293,0.9110,1.008
0.375656146,0.0473,0.4313,0.9085,1.007
0.378862083,0.0454,0.4308,0.9085,1.007
0.383171198,0.0468,0.4332,0.9061,1.005
0.388734063,0.0434,0.4317,0.9027,1.002
0.392210677,0.0449,0.4269,0.8972,0.995
0.395272708,0.0449,0.4288,0.8982,0.996
0.398061823,0.0414,0.4274,0.8968,0.994
0.401016354,0.0419,0.4278,0.8914,0.990
0.405597083,0.0366,0.4308,0.8948,0.994
0.419618177,0.0341,0.4308,0.8938,0.993
0.42284776,0.0419,0.4288,0.8924,0.991
0.446886719,0.0405,0.4298,0.8924,0.991
0.450509531,0.0444,0.4308,0.8943,0.994
0.455008906,0.0434,0.4308,0.8948,0.994
0.469691458,0.0458,0.4332,0.8963,0.997
0.472976979,0.0429,0.4371,0.8899,0.992
0.480083229,0.0405,0.4400,0.8919,0.995
0.484334375,0.0371,0.4396,0.8806,0.985
0.488046875,0.0385,0.4396,0.8836,0.988
0.496193958,0.0410,0.4391,0.8816,0.986
0.499036719,0.0468,0.4381,0.8655,0.971
0.503898229,0.0458,0.4347,0.8631,0.967
0.515949115,0.0483,0.4386,0.8689,0.975
0.519046771,0.0429,0.4400,0.8704,0.976
0.544684167,0.0410,0.4357,0.8753,0.979
0.549953542,0.0405,0.4376,0.8719,0.976
0.553304115,0.0419,0.4357,0.8816,0.984
0.565755937,0.0371,0.4352,0.8748,0.978
0.568993542,0.0302,0.4361,0.8855,0.988
0.582139479,0.0307,0.4332,0.8899,0.990
0.585556562,0.0278,0.4274,0.8977,0.995
0.600145573,0.0322,0.4264,0.8963,0.993
0.603191667,0.0390,0.4175,0.9120,1.004
0.617763437,0.0371,0.4200,0.9198,1.012
0.642200573,0.0268,0.4303,0.9237,1.019
0.647647396,0.0336,0.4337,0.9154,1.013
0.650875521,0.0327,0.4293,0.9110,1.008
0.663439531,0.0346,0.4278,0.9134,1.009
0.666755104,0.0297,0.4303,0.9124,1.009
0.669307396,0.0322,0.4317,0.9095,1.007
0.678791042,0.0327,0.4366,0.9090,1.009
0.681852292,0.0346,0.4396,0.8997,1.002
0.686433021,0.0414,0.4376,0.8972,0.999
0.695039948,0.0395,0.4342,0.8963,0.997
0.699428802,0.0390,0.4332,0.8894,0.990
0.703990885,0.0385,0.4288,0.8894,0.988
0.715613802,0.0312,0.4288,0.8924,0.991
0.718857708,0.0336,0.4303,0.8914,0.990
0.751123177,0.0317,0.4303,0.8894,0.989
0.756218594,0.0449,0.4269,0.8758,0.975
0.759867187,0.0439,0.4269,0.8821,0.981
0.763336875,0.0434,0.4274,0.8797,0.979
0.768081562,0.0385,0.4342,0.8855,0.987
0.779537083,0.0371,0.4371,0.8821,0.985
0.782956614,0.0278,0.4440,0.8709,0.978
0.79802125,0.0278,0.4435,0.8728,0.979
0.802473594,0.0317,0.4342,0.8797,0.981
0.815161614,0.0297,0.4332,0.8841,0.985
0.84701125,0.0375,0.4288,0.8919,0.990
0.850126198,0.0346,0.4337,0.8792,0.981
0.852731927,0.0356,0.4332,0.8782,0.980
0.861825469,0.0351,0.4313,0.8802,0.981
0.866461302,0.0327,0.4386,0.8767,0.981
0.869084114,0.0327,0.4396,0.8831,0.987
0.878804062,0.0307,0.4425,0.8821,0.987
0.883454167,0.0263,0.4410,0.8855,0.990
0.885929479,0.0248,0.4381,0.8860,0.989
