# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001148907,0.0825,0.7728,0.6705,1.026
0.010441198,0.0767,0.7611,0.6725,1.019
0.014591355,0.0718,0.7533,0.6744,1.014
0.019132553,0.0698,0.7518,0.6686,1.008
0.027643282,0.0703,0.7489,0.6701,1.007
0.031209271,0.0693,0.7581,0.6588,1.007
0.03580875,0.0698,0.7630,0.6608,1.012
0.042113177,0.0728,0.7733,0.6534,1.015
0.046247709,0.0737,0.7752,0.6534,1.017
0.050778698,0.0718,0.7845,0.6378,1.014
0.055779427,0.0693,0.7826,0.6344,1.010
0.058634532,0.0703,0.7786,0.6310,1.005
0.063089011,0.0732,0.7777,0.6290,1.003
0.066042917,0.0708,0.7757,0.6300,1.002
0.068557292,0.0708,0.7728,0.6339,1.002
0.074538386,0.0742,0.7679,0.6285,0.995
0.078069844,0.0728,0.7650,0.6271,0.992
0.082991771,0.0684,0.7616,0.6251,0.988
0.087679792,0.0649,0.7611,0.6198,0.984
0.096215886,0.0669,0.7581,0.6217,0.983
0.100535782,0.0591,0.7650,0.6115,0.981
0.103970417,0.0566,0.7606,0.6115,0.978
0.107863021,0.0517,0.7674,0.6080,0.980
0.112310677,0.0497,0.7664,0.6036,0.977
0.117454948,0.0493,0.7684,0.6071,0.980
0.119966563,0.0478,0.7684,0.6071,0.980
0.124777917,0.0458,0.7713,0.6066,0.982
0.127322136,0.0429,0.7723,0.6100,0.985
0.130374115,0.0493,0.7728,0.6115,0.987
0.134772552,0.0444,0.7723,0.6149,0.988
0.13982849,0.0449,0.7738,0.6110,0.987
0.14472323,0.0502,0.7733,0.6193,0.992
0.147127969,0.0468,0.7708,0.6198,0.990
0.150142709,0.0512,0.7699,0.6193,0.989
0.152272605,0.0527,0.7664,0.6183,0.986
0.154817292,0.0522,0.7684,0.6217,0.990
0.158963802,0.0557,0.7703,0.6178,0.989
0.161756302,0.0615,0.7664,0.6158,0.985
0.164532761,0.0654,0.7655,0.6173,0.986
0.167078959,0.0610,0.7669,0.6202,0.988
0.17200099,0.0664,0.7620,0.6183,0.984
0.174699896,0.0620,0.7630,0.6173,0.983
0.179389427,0.0615,0.7611,0.6154,0.981
0.184056355,0.0679,0.7611,0.6085,0.977
0.186723802,0.0664,0.7586,0.6066,0.974
0.192377448,0.0610,0.7611,0.6080,0.976
0.195476615,0.0645,0.7640,0.6056,0.977
0.198007865,0.0606,0.7650,0.6051,0.977
0.201880834,0.0581,0.7689,0.6071,0.981
0.21017849,0.0571,0.7699,0.6046,0.981
0.213226719,0.0537,0.7713,0.6046,0.982
0.216244948,0.0557,0.7742,0.5992,0.981
0.22151349,0.0497,0.7752,0.6056,0.985
0.224428021,0.0458,0.7733,0.6002,0.980
0.228357448,0.0478,0.7767,0.5958,0.980
0.230970417,0.0468,0.7733,0.5953,0.977
0.23596698,0.0454,0.7723,0.5978,0.978
0.241256094,0.0439,0.7655,0.6007,0.974
0.243937032,0.0473,0.7703,0.6046,0.980
0.248397136,0.0434,0.7679,0.6100,0.982
0.25355125,0.0458,0.7664,0.6168,0.985
0.257634844,0.0473,0.7694,0.6227,0.991
0.261124792,0.0434,0.7669,0.6266,0.991
