# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001708073,0.0698,0.2236,0.9769,1.005
0.005786875,0.0552,0.2158,0.9842,1.009
0.014015,0.0537,0.2079,0.9994,1.022
0.020503802,0.0557,0.2045,0.9999,1.022
0.024984896,0.0679,0.2060,1.0102,1.033
0.03157151,0.0757,0.2103,1.0067,1.031
0.035891875,0.0845,0.2124,1.0008,1.027
0.040063281,0.0869,0.2197,0.9935,1.021
0.044194166,0.0957,0.2231,0.9930,1.022
0.046723854,0.0996,0.2202,0.9886,1.018
0.049831094,0.1050,0.2251,0.9823,1.013
0.054544062,0.1104,0.2260,0.9720,1.004
0.059396146,0.1152,0.2255,0.9725,1.005
0.064131823,0.1201,0.2226,0.9730,1.005
0.066931719,0.1192,0.2265,0.9667,1.000
0.069563125,0.1187,0.2275,0.9667,1.000
0.072325416,0.1167,0.2290,0.9730,1.006
0.076542812,0.1128,0.2319,0.9774,1.011
0.079207031,0.1123,0.2348,0.9784,1.012
0.084114844,0.1079,0.2319,0.9833,1.016
0.087186198,0.1099,0.2338,0.9906,1.024
0.091496666,0.1065,0.2407,0.9994,1.033
0.096520833,0.1055,0.2407,0.9955,1.030
0.100688021,0.1060,0.2417,0.9920,1.027
0.103781719,0.1040,0.2373,0.9847,1.018
0.108870677,0.1065,0.2275,0.9837,1.015
0.113717708,0.1089,0.2212,0.9798,1.010
0.120550312,0.1084,0.2202,0.9774,1.008
0.123934531,0.1035,0.2202,0.9750,1.005
0.128868958,0.0986,0.2153,0.9789,1.007
0.131376875,0.0952,0.2197,0.9769,1.006
0.138913125,0.0884,0.2163,0.9764,1.004
0.142919323,0.0884,0.2207,0.9730,1.002
0.148995885,0.0908,0.2221,0.9759,1.005
0.153159062,0.1040,0.2221,0.9710,1.002
0.158185781,0.1089,0.2241,0.9764,1.008
0.164071719,0.1216,0.2255,0.9842,1.017
0.166613489,0.1216,0.2290,0.9862,1.020
0.170530677,0.1275,0.2270,0.9906,1.024
0.173396666,0.1289,0.2280,0.9876,1.022
0.178270677,0.1328,0.2290,0.9920,1.027
0.182918073,0.1309,0.2353,0.9945,1.030
0.185433125,0.1289,0.2348,0.9940,1.029
0.190263333,0.1231,0.2417,0.9979,1.034
0.195295729,0.1192,0.2412,0.9925,1.028
0.199785468,0.1123,0.2461,0.9925,1.029
0.202475416,0.1084,0.2456,0.9920,1.028
0.205581875,0.1021,0.2441,0.9886,1.023
0.210289635,0.1016,0.2407,0.9881,1.022
0.219011771,0.0947,0.2480,0.9710,1.007
0.222198437,0.0889,0.2553,0.9593,0.997
0.224751093,0.0864,0.2573,0.9583,0.996
0.227265885,0.0811,0.2583,0.9496,0.987
0.229764687,0.0801,0.2602,0.9432,0.982
0.238924635,0.0757,0.2602,0.9447,0.983
0.241865208,0.0889,0.2661,0.9281,0.970
0.248432448,0.0899,0.2666,0.9222,0.964
0.251880104,0.0908,0.2700,0.9129,0.956
0.256703125,0.0972,0.2710,0.9056,0.950
0.25945276,0.1001,0.2744,0.9051,0.951
0.266438854,0.0957,0.2744,0.8929,0.939
0.269244271,0.0996,0.2871,0.8870,0.938
0.271766198,0.0957,0.2949,0.8821,0.935
0.276662864,0.0840,0.2915,0.8684,0.920
0.279248646,0.0859,0.2978,0.8709,0.924
0.282165312,0.0850,0.2978,0.8733,0.927
0.286408698,0.0796,0.3056,0.8689,0.925
0.291319114,0.0776,0.3086,0.8601,0.917
0.296664218,0.0752,0.3125,0.8577,0.916
0.301305677,0.0796,0.3208,0.8499,0.912
0.306476823,0.0816,0.3272,0.8421,0.907
0.311154791,0.0913,0.3321,0.8435,0.911
0.319252864,0.0942,0.3321,0.8435,0.911
0.323376927,0.1006,0.3379,0.8391,0.910
0.328733698,0.0986,0.3350,0.8343,0.904
0.335818229,0.0977,0.3321,0.8323,0.901
0.340545,0.0864,0.3316,0.8406,0.908
0.345217656,0.0728,0.3291,0.8465,0.911
0.348365729,0.0659,0.3311,0.8513,0.916
0.353157343,0.0571,0.3291,0.8582,0.921
0.355644479,0.0596,0.3350,0.8626,0.927
0.360466458,0.0557,0.3340,0.8689,0.933
0.363705833,0.0557,0.3350,0.8753,0.939
0.366279323,0.0557,0.3316,0.8758,0.938
0.37078,0.0547,0.3321,0.8860,0.948
0.375256562,0.0507,0.3218,0.8914,0.949
0.381065729,0.0537,0.3169,0.9041,0.960
0.385197396,0.0478,0.3144,0.9144,0.968
0.390024948,0.0468,0.3086,0.9247,0.976
0.395080625,0.0424,0.3047,0.9339,0.983
0.398859531,0.0424,0.3008,0.9349,0.983
0.402838177,0.0439,0.3066,0.9398,0.990
0.407088593,0.0458,0.3056,0.9388,0.988
0.409666666,0.0468,0.3051,0.9437,0.993
0.412341354,0.0478,0.3061,0.9432,0.993
0.420614948,0.0497,0.3071,0.9447,0.995
0.424492812,0.0552,0.3071,0.9496,1.000
0.43129625,0.0640,0.3066,0.9432,0.994
0.434216927,0.0669,0.3056,0.9374,0.988
0.439093125,0.0645,0.3037,0.9359,0.986
0.443656666,0.0664,0.3066,0.9300,0.982
0.446778177,0.0591,0.3051,0.9237,0.975
0.449345052,0.0596,0.3056,0.9247,0.976
0.454779635,0.0566,0.3086,0.9232,0.975
0.459006614,0.0576,0.3061,0.9203,0.972
0.464283177,0.0507,0.3115,0.9212,0.974
0.469174427,0.0483,0.3149,0.9212,0.975
0.473926406,0.0449,0.3154,0.9193,0.973
0.478946614,0.0395,0.3139,0.9251,0.978
0.481568854,0.0366,0.3189,0.9281,0.982
0.486168906,0.0341,0.3233,0.9295,0.985
0.488729687,0.0346,0.3213,0.9359,0.990
0.493524739,0.0341,0.3144,0.9432,0.995
0.499048854,0.0371,0.3139,0.9461,0.998
0.503854375,0.0458,0.3081,0.9496,0.999
0.508510052,0.0532,0.3061,0.9520,1.001
0.511249166,0.0537,0.3037,0.9588,1.007
0.517485781,0.0649,0.3003,0.9681,1.016
0.520597552,0.0874,0.2964,0.9789,1.026
0.523245364,0.0952,0.2949,0.9818,1.030
0.528691302,0.0962,0.2968,0.9872,1.035
0.538719791,0.0952,0.2944,0.9901,1.037
0.54264052,0.1079,0.2885,1.0087,1.055
0.545385416,0.1113,0.2905,1.0155,1.062
0.548052239,0.1196,0.2915,1.0219,1.069
0.550555208,0.1235,0.2910,1.0292,1.077
0.555302135,0.1377,0.2871,1.0195,1.068
0.560382395,0.1416,0.2861,1.0067,1.056
0.565418958,0.1397,0.2871,0.9994,1.049
0.570020052,0.1533,0.2934,0.9715,1.026
0.572476614,0.1524,0.2954,0.9608,1.017
0.580273541,0.1485,0.3086,0.9388,0.999
0.586884062,0.1382,0.3218,0.9291,0.993
0.591849948,0.1387,0.3272,0.9110,0.978
0.596614895,0.1289,0.3350,0.9085,0.977
0.599724843,0.1235,0.3316,0.9037,0.970
0.602419739,0.1187,0.3326,0.8885,0.956
0.606776354,0.0903,0.3570,0.8802,0.954
0.609514218,0.0752,0.3697,0.8811,0.958
0.617296822,0.0757,0.3638,0.8953,0.969
0.623024947,0.1011,0.3648,0.9369,1.010
0.626175781,0.1133,0.3697,0.9417,1.018
0.629379531,0.1187,0.3599,0.9359,1.010
0.634064166,0.1011,0.3487,0.9325,1.001
0.638859791,0.0986,0.3355,0.9139,0.979
0.643363125,0.0899,0.3296,0.9032,0.966
0.649279791,0.1055,0.3257,0.8904,0.954
0.653779947,0.0962,0.3457,0.8777,0.948
0.656598072,0.1011,0.3545,0.8806,0.955
0.662746875,0.1113,0.3736,0.8655,0.949
0.666201302,0.1231,0.3843,0.8548,0.945
0.668758437,0.1372,0.3848,0.8538,0.946
0.673758593,0.1627,0.3755,0.8655,0.957
0.676376718,0.1690,0.3838,0.8675,0.964
0.681092447,0.1803,0.3897,0.8523,0.954
0.683715364,0.1651,0.3892,0.8494,0.949
0.688297916,0.1436,0.3741,0.8543,0.944
0.693688177,0.1099,0.3965,0.8689,0.961
0.696278906,0.0889,0.4034,0.8777,0.970
0.700860364,0.0400,0.4156,0.9037,0.995
0.703446145,0.0239,0.4190,0.9168,1.008
0.7061475,0.0058,0.4185,0.9266,1.017
0.711284375,-0.0118,0.4082,0.9432,1.028
0.715654114,-0.0103,0.3951,0.9583,1.037
0.71839875,-0.0074,0.3872,0.9637,1.039
0.723198125,0.0258,0.3833,0.9876,1.060
0.73211026,0.0522,0.3833,0.9925,1.065
0.735209218,0.0811,0.3980,0.9798,1.061
0.737934947,0.0806,0.3985,0.9686,1.050
0.740589947,0.0786,0.4009,0.9613,1.044
0.753954218,0.0752,0.3926,0.9452,1.026
0.757368281,0.0757,0.4405,0.8802,0.987
0.760190729,0.0820,0.4479,0.8631,0.976
0.762839791,0.0874,0.4537,0.8548,0.972
0.767282708,0.0967,0.4620,0.8430,0.966
0.769942447,0.1113,0.4596,0.8338,0.959
0.7748625,0.1074,0.4713,0.8260,0.957
0.779206562,0.1021,0.4703,0.8255,0.956
0.782234062,0.0923,0.4884,0.8357,0.972
0.784958854,0.0889,0.4933,0.8460,0.983
0.78956177,0.0855,0.4962,0.8660,1.002
0.792219479,0.0869,0.4923,0.8816,1.013
0.795315364,0.0825,0.4957,0.8909,1.023
0.79957052,0.0835,0.4801,0.9100,1.032
0.802244843,0.0874,0.4781,0.9173,1.038
0.807135052,0.0820,0.4689,0.9237,1.039
0.812418281,0.0816,0.4625,0.9320,1.044
0.816774895,0.0903,0.4498,0.9276,1.035
0.821642031,0.0923,0.4425,0.9178,1.023
0.824369479,0.0986,0.4405,0.9159,1.021
0.827516093,0.0977,0.4396,0.9134,1.018
0.833551927,0.0967,0.4420,0.9090,1.015
0.836502343,0.0913,0.4405,0.8977,1.004
0.844660989,0.0982,0.4435,0.8806,0.991
0.852881666,0.0908,0.4440,0.8699,0.981
0.855959374,0.0693,0.4586,0.8465,0.965
0.858667499,0.0669,0.4615,0.8440,0.964
0.863640781,0.0640,0.4674,0.8518,0.974
0.866233489,0.0713,0.4645,0.8518,0.973
0.871157291,0.0840,0.4664,0.8592,0.981
0.875956093,0.0938,0.4713,0.8636,0.988
0.879037499,0.0952,0.4679,0.8689,0.991
0.883721145,0.1040,0.4601,0.8787,0.997
0.888205052,0.1079,0.4444,0.8919,1.002
0.89098651,0.0962,0.4400,0.8855,0.994
0.894790729,0.0884,0.4381,0.8748,0.982
0.898588593,0.0718,0.4278,0.8811,0.982
0.901400885,0.0630,0.4269,0.8841,0.984
0.90620151,0.0527,0.4278,0.8850,0.984
0.908766927,0.0532,0.4317,0.8870,0.988
0.911833177,0.0527,0.4347,0.8899,0.992
0.915598437,0.0502,0.4410,0.8885,0.993
0.920448281,0.0468,0.4435,0.8850,0.991
0.923176406,0.0478,0.4440,0.8797,0.987
0.931235781,0.0507,0.4415,0.8811,0.987
0.935217447,0.0557,0.4440,0.8753,0.983
0.937751666,0.0586,0.4435,0.8723,0.980
0.942585833,0.0581,0.4410,0.8699,0.977
0.95025026,0.0562,0.4435,0.8621,0.971
0.954768593,0.0522,0.4532,0.8362,0.953
0.95728276,0.0552,0.4576,0.8294,0.949
0.962599322,0.0933,0.4508,0.8611,0.976
0.967225104,0.1148,0.4454,0.8421,0.960
0.972056614,0.1123,0.4586,0.8142,0.941
0.978858958,0.1055,0.4664,0.7898,0.923
0.982002656,0.0938,0.4776,0.7902,0.928
0.984564062,0.0957,0.4840,0.7927,0.934
0.98934052,0.0825,0.4918,0.7922,0.936
0.994649374,0.0776,0.4962,0.8045,0.948
0.997280624,0.0776,0.4943,0.8079,0.950
1.002115989,0.0723,0.4874,0.8250,0.961
1.006781822,0.0708,0.4742,0.8347,0.963
1.010764218,0.0664,0.4723,0.8391,0.965
1.014228072,0.0527,0.4674,0.8445,0.967
1.019204999,0.0493,0.4610,0.8396,0.959
1.024275468,0.0439,0.4625,0.8382,0.958
1.03078052,0.0434,0.4615,0.8269,0.948
1.033998697,0.0429,0.4689,0.8025,0.930
1.03882026,0.0478,0.4703,0.7912,0.922
1.042068541,0.0547,0.4689,0.8015,0.930
1.047860729,0.0654,0.4693,0.8020,0.932
1.051066874,0.0816,0.4791,0.7658,0.907
1.055885624,0.0762,0.4816,0.7526,0.897
1.059943697,0.0801,0.4835,0.7463,0.893
1.063316458,0.0762,0.4933,0.7365,0.890
1.06818651,0.0772,0.4982,0.7351,0.891
1.070824791,0.0791,0.5006,0.7321,0.890
1.073350833,0.0742,0.5001,0.7331,0.891
1.077904947,0.0713,0.5021,0.7292,0.888
1.080828697,0.0747,0.5069,0.7214,0.885
1.083362968,0.0767,0.5060,0.7219,0.885
1.088204531,0.0845,0.5094,0.7243,0.890
1.09317276,0.0962,0.5099,0.7263,0.893
1.098107864,0.1045,0.5089,0.7375,0.902
1.100784843,0.1094,0.5069,0.7443,0.907
1.105360051,0.1109,0.4986,0.7575,0.914
1.110056041,0.1138,0.4991,0.7673,0.922
1.112723541,0.1192,0.4913,0.7863,0.935
1.115271301,0.1206,0.4899,0.7941,0.941
1.117919843,0.1211,0.4869,0.8010,0.945
1.123363437,0.1206,0.4737,0.8123,0.948
1.130118281,0.1182,0.4654,0.8255,0.955
1.132644583,0.1192,0.4596,0.8469,0.971
1.137918072,0.1211,0.4571,0.8679,0.988
1.153723697,0.1279,0.4625,0.8753,0.998
1.157579114,0.1402,0.4610,0.9124,1.032
1.162176666,0.1343,0.4679,0.9242,1.045
1.164896301,0.1314,0.4713,0.9325,1.053
1.169934374,0.1231,0.4737,0.9417,1.061
1.175568489,0.1211,0.4737,0.9427,1.062
1.179649114,0.1123,0.4693,0.9442,1.060
1.187169687,0.1079,0.4625,0.9486,1.061
1.192869426,0.1035,0.4567,0.9544,1.063
1.196657395,0.1001,0.4576,0.9515,1.061
1.199346145,0.1021,0.4576,0.9491,1.059
1.204179531,0.1035,0.4527,0.9354,1.044
1.206948593,0.1025,0.4532,0.9378,1.047
1.211350989,0.1016,0.4513,0.9325,1.041
1.216572239,0.1035,0.4493,0.9334,1.041
1.221276249,0.1050,0.4410,0.9354,1.039
1.229678749,0.1045,0.4425,0.9374,1.042
1.23384052,0.0908,0.4469,0.9554,1.059
1.238642447,0.0747,0.4430,0.9603,1.060
1.254035885,0.0713,0.4464,0.9632,1.064
1.258771406,0.0571,0.4342,0.9442,1.041
1.263527708,0.0606,0.4459,0.9432,1.045
1.265994843,0.0571,0.4464,0.9432,1.045
1.27069401,0.0537,0.4518,0.9466,1.050
1.27329776,0.0532,0.4527,0.9510,1.055
1.275961926,0.0532,0.4444,0.9574,1.057
1.281128697,0.0488,0.4542,0.9569,1.060
1.285444895,0.0463,0.4547,0.9481,1.053
1.290442031,0.0429,0.4508,0.9461,1.049
1.294165937,0.0454,0.4493,0.9457,1.048
1.298202343,0.0454,0.4469,0.9515,1.052
1.302750572,0.0483,0.4391,0.9515,1.049
1.305506614,0.0493,0.4361,0.9569,1.053
1.308469114,0.0473,0.4376,0.9623,1.058
1.312229791,0.0478,0.4352,0.9691,1.063
1.31508526,0.0458,0.4332,0.9754,1.068
1.317651666,0.0434,0.4347,0.9789,1.072
1.329869062,0.0371,0.4327,0.9828,1.074
1.332601614,0.0322,0.4371,0.9862,1.079
1.337340208,0.0283,0.4386,0.9940,1.087
1.339982916,0.0268,0.4420,0.9935,1.088
1.349251874,0.0209,0.4420,0.9901,1.084
1.351955312,0.0082,0.4596,0.9930,1.094
1.357346614,-0.0054,0.4718,0.9881,1.095
1.362134895,-0.0147,0.4762,0.9906,1.099
1.366862968,-0.0137,0.4791,0.9833,1.094
1.371894322,-0.0196,0.4796,0.9789,1.090
1.374734062,-0.0186,0.4762,0.9764,1.087
1.379236197,-0.0113,0.4669,0.9710,1.078
1.38192052,-0.0098,0.4625,0.9715,1.076
1.386476041,-0.0045,0.4527,0.9696,1.070
1.391640156,0.0014,0.4386,0.9754,1.070
1.396764374,0.0126,0.4283,0.9813,1.071
1.401463749,0.0126,0.4170,0.9833,1.068
1.404075624,0.0156,0.4117,0.9867,1.069
1.408272551,0.0161,0.4014,0.9896,1.068
1.411823958,0.0185,0.3926,0.9896,1.065
1.416741978,0.0234,0.3765,0.9979,1.067
1.421328853,0.0283,0.3589,0.9964,1.059
1.428147864,0.0307,0.3575,1.0023,1.065
1.430999739,0.0253,0.3467,0.9984,1.057
1.433496249,0.0302,0.3409,1.0062,1.063
1.438460208,0.0302,0.3306,1.0102,1.063
1.449654218,0.0327,0.3257,1.0092,1.061
1.452921614,0.0405,0.3022,1.0248,1.069
1.456754322,0.0385,0.2949,1.0248,1.067
1.460598228,0.0424,0.2827,1.0326,1.071
1.465553072,0.0341,0.2734,1.0375,1.073
1.470744739,0.0405,0.2617,1.0400,1.073
1.474204895,0.0366,0.2602,1.0468,1.079
1.477822708,0.0356,0.2544,1.0473,1.078
1.482907812,0.0327,0.2485,1.0527,1.082
1.487136562,0.0263,0.2456,1.0488,1.077
1.490003385,0.0248,0.2426,1.0439,1.072
1.493614895,0.0214,0.2407,1.0453,1.073
1.497583645,0.0214,0.2397,1.0463,1.074
1.500106093,0.0180,0.2417,1.0385,1.066
1.502684478,0.0151,0.2338,1.0385,1.065
1.50531151,0.0102,0.2329,1.0375,1.063
1.507842343,0.0087,0.2314,1.0326,1.058
1.512383801,0.0029,0.2290,1.0302,1.055
1.514997447,0.0019,0.2226,1.0253,1.049
1.517620624,0.0029,0.2207,1.0209,1.044
1.527900728,-0.0025,0.2138,1.0155,1.038
1.532035937,-0.0040,0.1977,1.0072,1.026
1.537477655,-0.0079,0.1986,1.0067,1.026
1.551251301,-0.0093,0.1937,1.0013,1.020
1.55458328,-0.0181,0.1981,0.9950,1.015
1.559449218,-0.0191,0.1991,0.9833,1.003
1.564170937,-0.0259,0.2094,0.9793,1.002
1.56932552,-0.0220,0.2177,0.9652,0.990
1.57311953,-0.0274,0.2202,0.9637,0.989
1.576727603,-0.0313,0.2329,0.9496,0.978
1.581776718,-0.0372,0.2475,0.9339,0.967
1.58767203,-0.0425,0.2568,0.9305,0.966
1.591079322,-0.0445,0.2651,0.9159,0.954
1.593869999,-0.0465,0.2675,0.9120,0.952
1.59933151,-0.0435,0.2749,0.8992,0.941
1.60394802,-0.0425,0.2851,0.8919,0.937
1.606862447,-0.0455,0.2895,0.8836,0.931
1.610929062,-0.0523,0.3003,0.8792,0.931
1.613483176,-0.0592,0.3051,0.8714,0.925
1.618945989,-0.0675,0.3091,0.8616,0.918
1.626281093,-0.0651,0.3169,0.8592,0.918
1.630819166,-0.0758,0.3277,0.8596,0.923
1.63331052,-0.0787,0.3306,0.8606,0.925
1.652412187,-0.0792,0.3326,0.8567,0.922
1.656315676,-0.0831,0.3277,0.8855,0.948
1.66126776,-0.0836,0.3189,0.8963,0.955
1.665466093,-0.0866,0.3115,0.9129,0.968
1.668916197,-0.0841,0.3042,0.9164,0.969
1.672954947,-0.0817,0.2939,0.9378,0.986
1.677690051,-0.0768,0.2905,0.9510,0.997
1.680318437,-0.0783,0.2812,0.9588,1.002
1.68288828,-0.0724,0.2817,0.9691,1.012
1.687832864,-0.0513,0.2788,0.9793,1.020
1.690622551,-0.0396,0.2758,0.9896,1.028
1.694796405,-0.0245,0.2729,1.0082,1.045
1.697508749,-0.0118,0.2744,1.0121,1.049
1.702413645,0.0029,0.2651,1.0248,1.059
1.706169478,0.0136,0.2636,1.0253,1.059
1.709782916,0.0200,0.2529,1.0346,1.065
1.714685989,0.0346,0.2495,1.0356,1.066
1.71743828,0.0356,0.2470,1.0395,1.069
1.725301145,0.0410,0.2490,1.0424,1.073
1.729630103,0.0517,0.2412,1.0434,1.072
1.734232395,0.0478,0.2431,1.0405,1.070
1.73702776,0.0507,0.2446,1.0405,1.070
1.74068526,0.0483,0.2465,1.0405,1.070
1.743769687,0.0468,0.2524,1.0243,1.056
1.746834843,0.0458,0.2539,1.0180,1.050
1.75102651,0.0424,0.2539,1.0121,1.044
1.75520453,0.0346,0.2661,0.9950,1.031
1.75823328,0.0327,0.2685,0.9891,1.025
1.761577655,0.0239,0.2763,0.9759,1.015
1.766253228,0.0204,0.2744,0.9603,0.999
1.76876453,0.0151,0.2773,0.9549,0.994
1.772417343,0.0131,0.2817,0.9422,0.984
1.776320572,0.0102,0.2841,0.9247,0.967
1.779148853,0.0082,0.2861,0.9183,0.962
1.783598853,0.0082,0.2920,0.9061,0.952
1.78624078,0.0073,0.2944,0.9002,0.947
1.789151041,0.0048,0.2988,0.8904,0.939
1.793760676,-0.0025,0.3051,0.8816,0.933
1.798919843,-0.0069,0.3139,0.8684,0.923
1.805384374,-0.0123,0.3199,0.8592,0.917
1.808441822,-0.0123,0.3355,0.8499,0.914
