# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001388959,0.1118,0.7601,0.5621,0.952
0.006662188,0.1211,0.7694,0.5484,0.953
0.013595105,0.1143,0.7659,0.5591,0.955
0.017439532,0.0918,0.7606,0.5890,0.966
0.02268125,0.0781,0.7625,0.6017,0.974
0.028245417,0.0747,0.7674,0.6124,0.985
0.031563855,0.0732,0.7713,0.6149,0.989
0.034425157,0.0781,0.7777,0.6183,0.997
0.040399428,0.0869,0.7801,0.6241,1.003
0.045363334,0.0986,0.7796,0.6178,1.000
0.049620782,0.1065,0.7772,0.6149,0.997
0.054663959,0.1187,0.7669,0.6075,0.986
0.059641928,0.1289,0.7625,0.6027,0.980
0.063086094,0.1275,0.7620,0.6007,0.979
0.066881511,0.1304,0.7576,0.5885,0.968
0.071697396,0.1270,0.7596,0.5811,0.965
0.074272344,0.1201,0.7533,0.5699,0.952
0.078987292,0.1182,0.7542,0.5626,0.948
0.08183573,0.1143,0.7606,0.5552,0.949
0.084941875,0.1084,0.7650,0.5557,0.952
0.089111667,0.0952,0.7533,0.5298,0.926
0.095660938,0.0913,0.7635,0.5142,0.925
0.099076407,0.0923,0.7723,0.5069,0.928
0.104488542,0.1021,0.7767,0.4996,0.929
0.108936198,0.1099,0.7733,0.5044,0.930
0.115576771,0.1133,0.7669,0.5074,0.927
0.118660521,0.1216,0.7552,0.5186,0.924
0.123554636,0.1304,0.7533,0.5318,0.931
0.130205678,0.1314,0.7576,0.5406,0.940
0.133891667,0.1323,0.7528,0.5508,0.942
0.13809349,0.1289,0.7542,0.5543,0.945
0.140634271,0.1289,0.7552,0.5621,0.950
0.144526511,0.1304,0.7562,0.5645,0.953
0.148402761,0.1304,0.7572,0.5777,0.961
0.150911563,0.1294,0.7576,0.5826,0.964
0.155599011,0.1255,0.7586,0.5992,0.975
0.161567761,0.1211,0.7567,0.6227,0.987
0.165644063,0.1192,0.7586,0.6310,0.994
0.170640834,0.1294,0.7601,0.6481,1.007
0.175494636,0.1323,0.7606,0.6544,1.012
0.180387188,0.1397,0.7547,0.6617,1.013
0.185542448,0.1421,0.7508,0.6647,1.013
0.190537605,0.1504,0.7547,0.6549,1.011
0.1954725,0.1514,0.7537,0.6491,1.006
0.200136927,0.1450,0.7537,0.6403,1.000
0.202772448,0.1426,0.7581,0.6315,0.997
0.207465938,0.1318,0.7611,0.6271,0.995
0.217178855,0.1240,0.7596,0.6227,0.990
0.220056615,0.1050,0.7625,0.6041,0.978
0.222604636,0.0996,0.7664,0.5988,0.978
0.233112657,0.0991,0.7659,0.5963,0.976
0.237077552,0.0933,0.7611,0.5948,0.970
