# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001285573,0.1920,0.6848,0.6989,0.997
0.018973021,0.1602,0.6736,0.6803,0.971
0.023594271,0.1348,0.7166,0.6466,0.975
0.028101875,0.1304,0.7537,0.6398,0.997
0.032699219,0.1362,0.7767,0.6408,1.016
0.035215261,0.1348,0.7840,0.6383,1.020
0.038943594,0.1372,0.7933,0.6393,1.028
0.042196771,0.1397,0.7987,0.6373,1.031
0.047521407,0.1528,0.8094,0.6237,1.033
0.052527396,0.1622,0.8045,0.6154,1.026
0.057116355,0.1700,0.8079,0.6168,1.031
0.061928073,0.1915,0.7987,0.6168,1.027
0.064442344,0.1988,0.8011,0.6232,1.034
0.0695075,0.2086,0.7962,0.6222,1.032
0.072022344,0.2218,0.7928,0.6266,1.035
0.077405938,0.2325,0.7899,0.6295,1.036
0.081931094,0.2340,0.7845,0.6368,1.037
0.084765313,0.2369,0.7821,0.6368,1.036
0.087601198,0.2389,0.7782,0.6388,1.035
0.092331146,0.2310,0.7742,0.6471,1.035
0.097018282,0.2315,0.7694,0.6466,1.031
0.101924115,0.2340,0.7689,0.6486,1.033
0.104893855,0.2286,0.7723,0.6486,1.034
0.1074525,0.2276,0.7699,0.6481,1.032
0.110001719,0.2257,0.7679,0.6456,1.028
0.114104896,0.2179,0.7689,0.6456,1.027
0.116661615,0.2193,0.7723,0.6427,1.028
0.121579375,0.2159,0.7777,0.6339,1.026
0.126479896,0.2120,0.7874,0.6295,1.030
0.131240052,0.2061,0.7869,0.6193,1.022
0.134341459,0.2027,0.7909,0.6222,1.026
0.13978375,0.1944,0.7962,0.6066,1.020
0.144499948,0.1939,0.7992,0.6061,1.022
0.148907552,0.1978,0.8011,0.6051,1.023
0.151661459,0.1983,0.8045,0.6051,1.026
0.157892813,0.2017,0.8055,0.6056,1.028
0.161408334,0.2047,0.8040,0.5944,1.021
0.166207448,0.2096,0.7992,0.5895,1.015
0.168953542,0.2105,0.7992,0.5796,1.009
0.174167813,0.2081,0.7967,0.5753,1.004
0.180480834,0.2130,0.7943,0.5792,1.006
0.183053073,0.2164,0.7879,0.5650,0.993
0.186012292,0.2183,0.7830,0.5670,0.991
0.191778021,0.2227,0.7816,0.5601,0.987
0.195854063,0.2242,0.7845,0.5543,0.986
0.200715209,0.2242,0.7791,0.5533,0.982
0.203732969,0.2232,0.7786,0.5513,0.980
0.207804115,0.2247,0.7767,0.5513,0.979
0.210411823,0.2262,0.7772,0.5474,0.977
0.213156667,0.2247,0.7713,0.5479,0.972
0.218304167,0.2183,0.7689,0.5479,0.969
0.220997292,0.2144,0.7689,0.5557,0.973
0.225214688,0.2125,0.7659,0.5699,0.978
0.228226667,0.2105,0.7611,0.5674,0.972
0.232758125,0.2056,0.7606,0.5777,0.977
0.235276875,0.2032,0.7591,0.5777,0.975
0.23815599,0.2017,0.7572,0.5806,0.975
0.243151875,0.1939,0.7581,0.5924,0.981
0.247473438,0.1881,0.7576,0.5983,0.984
0.260875573,0.1739,0.7659,0.6100,0.994
0.264667969,0.1710,0.7620,0.6193,0.997
0.267424375,0.1690,0.7625,0.6173,0.996
0.274582084,0.1715,0.7635,0.6202,0.999
0.277479219,0.1749,0.7581,0.6139,0.991
