# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.002867239,0.0918,0.6213,0.7365,0.968
0.007348281,0.0894,0.6409,0.7370,0.981
0.020742031,0.0864,0.6404,0.7351,0.979
0.024260625,0.0625,0.6428,0.7341,0.978
0.028847344,0.0615,0.6443,0.7331,0.978
0.034430521,0.0620,0.6423,0.7355,0.979
0.037046198,0.0669,0.6428,0.7360,0.980
0.041664792,0.0723,0.6438,0.7360,0.981
0.046667448,0.0703,0.6404,0.7375,0.979
0.051006614,0.0728,0.6433,0.7478,0.989
0.055423854,0.0752,0.6423,0.7502,0.990
0.059,0.0762,0.6414,0.7600,0.997
0.061997448,0.0747,0.6453,0.7605,1.000
0.068104479,0.0767,0.6433,0.7668,1.004
0.07149901,0.0689,0.6384,0.7639,0.998
0.076185052,0.0689,0.6389,0.7692,1.002
0.080341094,0.0674,0.6340,0.7722,1.001
0.085051875,0.0640,0.6340,0.7761,1.004
0.088775937,0.0708,0.6345,0.7722,1.002
0.09383625,0.0728,0.6364,0.7741,1.005
0.10112901,0.0689,0.6364,0.7732,1.004
0.103886198,0.0659,0.6340,0.7702,1.000
0.108580312,0.0679,0.6330,0.7756,1.003
0.111207604,0.0703,0.6350,0.7766,1.006
0.122436823,0.0674,0.6350,0.7712,1.001
0.125500521,0.0649,0.6379,0.7644,0.998
0.129249375,0.0649,0.6409,0.7595,0.996
0.135689323,0.0674,0.6359,0.7570,0.991
0.141150469,0.0776,0.6379,0.7487,0.987
0.14556125,0.0830,0.6375,0.7448,0.984
0.149064114,0.0820,0.6364,0.7360,0.976
0.15275776,0.0825,0.6340,0.7341,0.973
0.155407969,0.0791,0.6315,0.7282,0.967
0.158234427,0.0816,0.6345,0.7292,0.970
0.162637344,0.0816,0.6364,0.7253,0.968
0.167286406,0.0801,0.6350,0.7204,0.964
0.170301823,0.0737,0.6389,0.7204,0.966
0.174947187,0.0649,0.6433,0.7194,0.967
0.177680469,0.0625,0.6414,0.7150,0.963
0.184256458,0.0620,0.6404,0.7292,0.972
0.187700469,0.0659,0.6423,0.7331,0.977
0.192394791,0.0654,0.6359,0.7395,0.977
0.19742026,0.0635,0.6345,0.7458,0.981
0.199961146,0.0669,0.6335,0.7512,0.985
0.203504739,0.0713,0.6345,0.7570,0.990
0.207660677,0.0752,0.6325,0.7663,0.996
0.210453698,0.0767,0.6262,0.7702,0.996
0.220435469,0.0786,0.6223,0.7766,0.998
0.224150573,0.0820,0.6232,0.7775,1.000
0.226677135,0.0830,0.6242,0.7756,0.999
0.231409635,0.0825,0.6262,0.7795,1.003
0.237744948,0.0801,0.6237,0.7785,1.001
0.24187625,0.0747,0.6223,0.7732,0.995
0.246738802,0.0703,0.6149,0.7756,0.992
0.249839948,0.0654,0.6125,0.7751,0.990
0.252837864,0.0679,0.6042,0.7712,0.982
0.257001406,0.0640,0.5998,0.7668,0.976
0.26126375,0.0596,0.5988,0.7653,0.974
0.266470104,0.0586,0.5934,0.7673,0.972
0.269606927,0.0635,0.5910,0.7609,0.966
0.27366151,0.0625,0.5915,0.7590,0.964
0.278374583,0.0649,0.5817,0.7585,0.958
0.282348021,0.0674,0.5807,0.7546,0.955
0.285849114,0.0684,0.5768,0.7522,0.950
0.289580312,0.0645,0.5705,0.7507,0.945
0.2936125,0.0562,0.5734,0.7531,0.948
0.296613333,0.0591,0.5695,0.7565,0.949
0.300263958,0.0562,0.5685,0.7590,0.950
0.303112812,0.0493,0.5700,0.7585,0.950
0.306090521,0.0463,0.5724,0.7658,0.957
0.310788594,0.0463,0.5788,0.7663,0.961
0.318821614,0.0454,0.5812,0.7727,0.968
0.322827291,0.0395,0.5900,0.7746,0.975
0.325385729,0.0375,0.5905,0.7717,0.972
0.327909739,0.0361,0.5925,0.7751,0.976
0.332725052,0.0346,0.5939,0.7756,0.977
0.337728229,0.0258,0.5954,0.7785,0.980
0.340245521,0.0268,0.5983,0.7805,0.984
0.345050833,0.0195,0.6013,0.7741,0.980
0.350522083,0.0195,0.6052,0.7771,0.985
0.353149896,0.0185,0.6130,0.7756,0.989
0.357567812,0.0126,0.6208,0.7673,0.987
0.362605989,0.0092,0.6286,0.7663,0.991
0.366116041,0.0068,0.6242,0.7561,0.980
0.369905312,0.0019,0.6267,0.7487,0.976
0.374883646,0.0004,0.6310,0.7346,0.968
0.380091406,0.0078,0.6247,0.7380,0.967
0.384818593,0.0126,0.6320,0.7458,0.978
0.387347604,0.0107,0.6320,0.7517,0.982
0.390178802,0.0107,0.6306,0.7556,0.984
0.394050104,0.0126,0.6354,0.7575,0.989
0.397404687,0.0151,0.6286,0.7688,0.993
0.402672135,0.0317,0.6286,0.7722,0.996
0.406714062,0.0405,0.6159,0.7722,0.989
0.40986151,0.0473,0.6076,0.7692,0.981
0.419784531,0.0552,0.6096,0.7766,0.989
0.424031979,0.0562,0.6042,0.7952,1.000
0.426541198,0.0542,0.6042,0.7976,1.002
0.433443125,0.0537,0.5954,0.8059,1.003
0.43632151,0.0502,0.5910,0.8123,1.006
0.439175052,0.0507,0.5934,0.8142,1.009
0.444323593,0.0449,0.5944,0.8181,1.012
0.448311666,0.0424,0.5954,0.8230,1.017
0.452157031,0.0395,0.5886,0.8245,1.014
0.457304896,0.0424,0.5905,0.8260,1.016
0.461220364,0.0454,0.5934,0.8284,1.020
0.464769218,0.0449,0.5900,0.8274,1.017
0.468684479,0.0483,0.5920,0.8220,1.014
0.473830156,0.0468,0.5944,0.8196,1.014
0.478184375,0.0439,0.5876,0.8152,1.006
0.482677343,0.0390,0.5949,0.8123,1.008
0.485893229,0.0380,0.5959,0.8030,1.001
0.488453489,0.0322,0.5964,0.7947,0.994
0.493626927,0.0253,0.5978,0.7834,0.986
0.498574843,0.0239,0.5964,0.7727,0.976
0.502923437,0.0204,0.5988,0.7570,0.965
0.505708906,0.0175,0.6003,0.7522,0.962
0.510482239,0.0165,0.5998,0.7380,0.951
0.513936562,0.0195,0.6017,0.7287,0.945
0.519941093,0.0156,0.6052,0.7229,0.943
0.522742031,0.0156,0.6066,0.7097,0.934
0.525425156,0.0151,0.6096,0.7048,0.932
0.534621458,0.0117,0.6140,0.6979,0.930
0.538164218,0.0087,0.6110,0.7009,0.930
0.54169651,0.0078,0.6110,0.7038,0.932
0.545522968,0.0043,0.6081,0.7111,0.936
0.557402968,0.0019,0.6100,0.7131,0.938
0.559895573,-0.0191,0.6135,0.7233,0.949
0.563974739,-0.0264,0.6120,0.7272,0.951
0.567319583,-0.0323,0.6169,0.7287,0.955
0.570089271,-0.0347,0.6154,0.7321,0.957
0.574275573,-0.0411,0.6227,0.7297,0.960
0.579616979,-0.0499,0.6232,0.7297,0.961
0.584257552,-0.0548,0.6183,0.7336,0.961
0.587083698,-0.0612,0.6140,0.7355,0.960
0.589590364,-0.0631,0.6149,0.7336,0.959
0.594888385,-0.0641,0.6179,0.7321,0.960
0.599260364,-0.0587,0.6223,0.7375,0.967
0.604362083,-0.0513,0.6276,0.7404,0.972
0.60694276,-0.0489,0.6310,0.7336,0.969
0.611596145,-0.0440,0.6296,0.7355,0.969
0.618003229,-0.0450,0.6330,0.7321,0.969
0.621615052,-0.0508,0.6340,0.7282,0.967
0.625322708,-0.0494,0.6359,0.7243,0.965
0.636091458,-0.0489,0.6354,0.7209,0.962
0.639817448,-0.0489,0.6375,0.7312,0.971
0.643574166,-0.0484,0.6399,0.7312,0.973
0.647147552,-0.0450,0.6389,0.7321,0.973
0.650842135,-0.0479,0.6409,0.7375,0.978
0.653656614,-0.0523,0.6433,0.7385,0.981
0.658201562,-0.0513,0.6482,0.7478,0.991
0.660864895,-0.0513,0.6482,0.7522,0.994
0.663408281,-0.0494,0.6467,0.7570,0.997
0.666050468,-0.0382,0.6502,0.7619,1.002
0.671046562,-0.0377,0.6482,0.7653,1.004
0.673804531,-0.0396,0.6462,0.7741,1.009
0.680085937,-0.0284,0.6453,0.7712,1.006
0.683887916,-0.0186,0.6399,0.7815,1.010
0.688379166,-0.0118,0.6379,0.7863,1.013
0.693400833,-0.0103,0.6350,0.7898,1.013
0.696816875,-0.0069,0.6296,0.7878,1.008
0.700703698,-0.0098,0.6276,0.7824,1.003
0.705886823,-0.0069,0.6188,0.7775,0.994
0.711011875,-0.0064,0.6169,0.7736,0.989
0.722592604,-0.0093,0.6130,0.7648,0.980
0.725139166,-0.0045,0.6105,0.7248,0.948
0.728566354,-0.0030,0.6135,0.7160,0.943
0.736308854,0.0038,0.6130,0.7033,0.933
0.740607604,0.0073,0.6066,0.6764,0.909
0.747089583,-0.0010,0.6027,0.6617,0.895
0.749941145,-0.0040,0.6032,0.6554,0.891
0.75361052,-0.0020,0.6081,0.6525,0.892
0.757683333,-0.0020,0.6032,0.6471,0.885
0.763114114,-0.0015,0.6008,0.6437,0.880
0.766952343,0.0053,0.5978,0.6451,0.880
0.771840677,0.0082,0.5934,0.6451,0.877
0.776855156,0.0151,0.5851,0.6412,0.868
0.780389895,0.0209,0.5754,0.6427,0.863
0.784324531,0.0229,0.5734,0.6437,0.862
0.789288854,0.0263,0.5700,0.6471,0.863
0.791914479,0.0268,0.5695,0.6481,0.863
0.796724895,0.0297,0.5705,0.6500,0.865
0.7993625,0.0273,0.5720,0.6437,0.862
0.804032343,0.0283,0.5641,0.6486,0.860
0.80961927,0.0263,0.5681,0.6408,0.857
0.813516406,0.0239,0.5666,0.6388,0.854
0.818649739,0.0244,0.5676,0.6354,0.852
0.821800312,0.0239,0.5651,0.6246,0.843
0.826444947,0.0219,0.5588,0.6207,0.835
0.838431406,0.0239,0.5573,0.6212,0.835
0.841203697,0.0229,0.5480,0.6163,0.825
0.844254843,0.0244,0.5441,0.6139,0.821
0.849469739,0.0258,0.5451,0.6144,0.822
0.854298125,0.0292,0.5392,0.6158,0.819
0.857346406,0.0283,0.5397,0.6188,0.822
0.862834166,0.0268,0.5402,0.6261,0.827
0.865801875,0.0273,0.5436,0.6320,0.834
0.870831822,0.0317,0.5407,0.6408,0.839
0.875457708,0.0239,0.5417,0.6451,0.843
0.879154583,0.0322,0.5436,0.6481,0.847
0.88337625,0.0292,0.5480,0.6525,0.853
0.88912625,0.0297,0.5471,0.6617,0.859
0.89401427,0.0336,0.5441,0.6666,0.861
0.897756614,0.0307,0.5505,0.6769,0.873
0.900268802,0.0278,0.5456,0.6764,0.869
0.902813072,0.0297,0.5446,0.6808,0.872
0.905524635,0.0283,0.5485,0.6842,0.877
0.910654114,0.0258,0.5485,0.6901,0.882
0.914001302,0.0214,0.5500,0.6892,0.882
0.917698906,0.0195,0.5466,0.6945,0.884
0.922578854,0.0121,0.5471,0.6950,0.885
0.932305781,0.0131,0.5446,0.7048,0.891
0.937233333,0.0146,0.5495,0.7229,0.908
0.939807916,0.0161,0.5505,0.7219,0.908
0.945233906,0.0165,0.5480,0.7297,0.913
0.949902552,0.0131,0.5490,0.7355,0.918
0.95268,0.0117,0.5485,0.7346,0.917
0.95746026,0.0029,0.5456,0.7375,0.917
0.96198625,0.0082,0.5431,0.7346,0.914
0.966620156,0.0053,0.5353,0.7346,0.909
0.969431406,0.0068,0.5383,0.7326,0.909
0.974217031,0.0029,0.5358,0.7346,0.909
0.978247083,-0.0001,0.5344,0.7307,0.905
0.981961666,-0.0108,0.5392,0.7287,0.907
0.986560052,-0.0162,0.5417,0.7258,0.906
0.989571041,-0.0186,0.5441,0.7243,0.906
0.99225625,-0.0259,0.5471,0.7189,0.904
0.996846302,-0.0245,0.5461,0.7233,0.907
1.001882916,-0.0269,0.5495,0.7219,0.908
1.006585,-0.0328,0.5514,0.7214,0.909
1.009244947,-0.0328,0.5583,0.7214,0.913
1.013868854,-0.0318,0.5685,0.7199,0.918
1.01859177,-0.0333,0.5724,0.7126,0.915
1.021223958,-0.0298,0.5764,0.7072,0.913
1.031550156,-0.0215,0.5842,0.7048,0.916
1.036040677,-0.0186,0.5905,0.7028,0.918
1.040752187,-0.0196,0.5959,0.7048,0.923
1.046478072,-0.0186,0.5978,0.7043,0.924
1.051468645,-0.0206,0.6174,0.7160,0.946
1.055540729,-0.0259,0.6247,0.7292,0.961
1.058475729,-0.0303,0.6257,0.7365,0.967
1.062106458,-0.0303,0.6310,0.7434,0.976
1.065651406,-0.0430,0.6443,0.7507,0.990
1.068174635,-0.0430,0.6472,0.7673,1.005
1.073104322,-0.0338,0.6585,0.7902,1.029
1.077434374,-0.0333,0.6619,0.8035,1.042
1.080852239,-0.0240,0.6716,0.8338,1.071
1.085464114,-0.0186,0.6746,0.8655,1.097
1.088086302,-0.0118,0.6765,0.8860,1.115
1.093884791,0.0004,0.6882,0.9188,1.148
1.097777343,0.0107,0.6926,0.9466,1.173
1.102514791,0.0180,0.6965,0.9725,1.196
1.105201874,0.0224,0.7034,0.9818,1.208
1.11129276,0.0244,0.6985,1.0047,1.224
1.11541677,0.0239,0.6965,1.0243,1.239
1.118019374,0.0219,0.6980,1.0312,1.245
1.122187343,0.0204,0.6941,1.0400,1.250
1.12517927,0.0180,0.6907,1.0483,1.255
1.129811145,0.0170,0.6941,1.0483,1.257
1.133876666,0.0151,0.6951,1.0541,1.263
1.137818333,0.0156,0.6980,1.0590,1.268
1.141843489,0.0121,0.6941,1.0551,1.263
1.147982552,0.0141,0.6946,1.0497,1.259
1.152245416,0.0219,0.6951,1.0312,1.244
1.156657031,0.0292,0.6941,1.0190,1.233
1.16083401,0.0380,0.6917,1.0121,1.226
1.16424177,0.0385,0.6946,0.9925,1.212
1.16677776,0.0424,0.6961,0.9833,1.205
1.171591197,0.0507,0.6970,0.9701,1.196
1.174906979,0.0488,0.7009,0.9662,1.195
1.177505104,0.0527,0.6995,0.9583,1.188
1.18145177,0.0557,0.7044,0.9505,1.184
1.184112604,0.0502,0.7039,0.9447,1.179
1.187310468,0.0502,0.7044,0.9417,1.177
1.192006614,0.0473,0.7000,0.9320,1.167
1.195572968,0.0493,0.6980,0.9266,1.161
1.199751458,0.0478,0.6951,0.9207,1.155
