# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001426563,-0.0313,0.3189,0.9901,1.041
0.005745938,0.0346,0.3105,0.9598,1.009
0.009408229,0.0537,0.3144,0.9500,1.002
0.013301406,0.0830,0.3139,0.9359,0.991
0.016683281,0.0972,0.3203,0.9286,0.987
0.020286875,0.1196,0.3311,0.9256,0.990
0.022870729,0.1304,0.3355,0.9222,0.990
0.02833125,0.1421,0.3409,0.9222,0.993
0.032496771,0.1587,0.3477,0.9237,1.000
0.035614323,0.1661,0.3467,0.9217,0.999
0.041352969,0.1646,0.3443,0.9188,0.995
0.044022761,0.1593,0.3443,0.9149,0.990
0.047548177,0.1406,0.3384,0.9164,0.987
0.050169688,0.1309,0.3350,0.9188,0.987
0.055181511,0.1011,0.3282,0.9354,0.996
0.057978594,0.0903,0.3257,0.9427,1.001
0.062722709,0.0689,0.3174,0.9588,1.012
0.067362708,0.0497,0.3105,0.9710,1.021
0.070296458,0.0468,0.3105,0.9754,1.025
0.075048021,0.0375,0.3047,0.9774,1.024
0.079735,0.0336,0.2964,0.9759,1.020
0.082284688,0.0317,0.2900,0.9750,1.018
0.0868975,0.0331,0.2861,0.9706,1.012
0.090448229,0.0336,0.2827,0.9696,1.011
0.094471875,0.0395,0.2715,0.9647,1.003
0.097046719,0.0405,0.2719,0.9652,1.004
0.101635052,0.0517,0.2744,0.9618,1.001
0.107120365,0.0596,0.2773,0.9657,1.006
0.112113125,0.0781,0.2739,0.9671,1.008
0.116839427,0.0874,0.2817,0.9725,1.016
0.121835156,0.0982,0.2871,0.9701,1.016
0.129627083,0.1030,0.2871,0.9647,1.012
0.133949427,0.1123,0.2998,0.9593,1.011
0.13655875,0.1152,0.3076,0.9632,1.018
0.141322083,0.1118,0.3091,0.9657,1.020
0.146387656,0.1109,0.3139,0.9627,1.019
0.150971458,0.1016,0.3174,0.9618,1.018
0.153599636,0.0996,0.3203,0.9559,1.013
0.156747292,0.0957,0.3213,0.9574,1.014
0.16131375,0.0801,0.3272,0.9530,1.011
0.166325417,0.0786,0.3311,0.9510,1.010
0.171140469,0.0742,0.3345,0.9461,1.006
0.177299479,0.0708,0.3301,0.9486,1.007
0.180672083,0.0786,0.3291,0.9447,1.003
0.183234427,0.0772,0.3282,0.9481,1.006
0.188111354,0.0835,0.3267,0.9452,1.004
0.190679531,0.0864,0.3208,0.9417,0.999
0.195049219,0.0845,0.3208,0.9403,0.997
0.198232969,0.0977,0.3199,0.9383,0.996
0.203065677,0.0991,0.3159,0.9432,1.000
0.207257188,0.0991,0.3169,0.9476,1.004
0.211105156,0.0986,0.3110,0.9525,1.007
0.215409583,0.0967,0.3071,0.9603,1.013
0.220424688,0.1001,0.3042,0.9676,1.019
0.22367125,0.0991,0.3017,0.9745,1.025
0.227801354,0.1011,0.2983,0.9925,1.041
0.232731927,0.1025,0.2978,1.0067,1.055
0.235277708,0.1006,0.2978,1.0121,1.060
0.237962083,0.1016,0.2924,1.0190,1.065
0.245251771,0.1021,0.2959,1.0243,1.071
0.249797396,0.1050,0.2920,1.0375,1.083
0.252289427,0.1094,0.2934,1.0375,1.084
0.254854479,0.1123,0.2983,1.0375,1.085
0.260288802,0.1074,0.2949,1.0234,1.070
0.264361771,0.1099,0.2939,1.0175,1.065
0.267208594,0.1138,0.3003,1.0165,1.066
0.272215625,0.1069,0.3017,1.0062,1.056
0.274814479,0.1021,0.3061,0.9989,1.050
0.277501615,0.1011,0.3095,0.9935,1.046
0.28256,0.0957,0.3144,0.9857,1.039
0.286926302,0.0899,0.3203,0.9789,1.034
0.291809219,0.0811,0.3218,0.9720,1.027
0.294571146,0.0752,0.3218,0.9735,1.028
0.29934901,0.0757,0.3238,0.9618,1.018
0.30187401,0.0767,0.3223,0.9579,1.014
0.306578594,0.0747,0.3238,0.9540,1.010
0.309246042,0.0747,0.3233,0.9481,1.004
0.314258125,0.0752,0.3189,0.9378,0.993
0.31901651,0.0781,0.3267,0.9261,0.985
0.323113229,0.0845,0.3252,0.9271,0.986
0.326443594,0.0894,0.3257,0.9188,0.979
0.329315313,0.0957,0.3296,0.9139,0.976
0.334224948,0.1021,0.3306,0.9110,0.974
0.343122448,0.1084,0.3379,0.9115,0.978
0.34631,0.1157,0.3418,0.9002,0.970
0.35130375,0.1182,0.3433,0.8894,0.961
0.355841146,0.1226,0.3355,0.8782,0.948
0.358397083,0.1235,0.3340,0.8772,0.947
0.360944323,0.1157,0.3340,0.8753,0.944
0.36604651,0.1055,0.3369,0.8792,0.947
0.368756615,0.1025,0.3369,0.8772,0.945
0.373488125,0.0806,0.3404,0.8885,0.955
0.375940885,0.0728,0.3433,0.8870,0.954
0.378434427,0.0669,0.3472,0.8865,0.954
0.383123021,0.0517,0.3506,0.8855,0.954
0.389366094,0.0473,0.3560,0.8826,0.953
0.393809167,0.0395,0.3550,0.8831,0.953
0.398052292,0.0395,0.3536,0.8777,0.947
0.403199948,0.0414,0.3487,0.8743,0.942
0.408367604,0.0429,0.3438,0.8684,0.935
0.412961979,0.0463,0.3384,0.8660,0.931
0.41816401,0.0512,0.3350,0.8528,0.918
0.42249276,0.0537,0.3306,0.8430,0.907
0.4251425,0.0547,0.3340,0.8372,0.903
0.428040052,0.0566,0.3345,0.8343,0.901
0.432820208,0.0547,0.3374,0.8260,0.894
0.443172188,0.0581,0.3423,0.8206,0.891
0.447073229,0.0684,0.3506,0.8030,0.879
0.449559948,0.0659,0.3516,0.7967,0.873
