# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001358073,0.2574,0.4303,0.8626,0.998
0.004670781,0.2188,0.4391,0.8826,1.010
0.007328125,0.2125,0.4464,0.8831,1.012
0.010057709,0.2008,0.4630,0.8885,1.022
0.012564063,0.1949,0.4708,0.8889,1.025
0.020360313,0.1983,0.4899,0.8855,1.031
0.024812552,0.2232,0.5016,0.8782,1.036
0.029001615,0.2364,0.5079,0.8679,1.033
0.031677917,0.2486,0.5148,0.8636,1.036
0.035061719,0.2633,0.5157,0.8636,1.040
0.040405521,0.2677,0.5128,0.8562,1.033
0.044191771,0.2892,0.5123,0.8479,1.032
0.049055573,0.3024,0.5060,0.8518,1.036
0.053935834,0.3029,0.5006,0.8631,1.043
0.056671615,0.3029,0.4996,0.8689,1.047
0.060089323,0.3053,0.4943,0.8719,1.048
0.063687917,0.3009,0.4952,0.8802,1.054
0.067016979,0.3039,0.4962,0.8821,1.057
0.072203802,0.2985,0.4982,0.8846,1.058
0.075517344,0.2995,0.5006,0.8816,1.057
0.081137084,0.2912,0.5001,0.8772,1.051
0.085568281,0.2863,0.5021,0.8777,1.051
0.088381719,0.2814,0.5055,0.8640,1.040
0.091197969,0.2809,0.5065,0.8665,1.042
0.095882656,0.2804,0.5035,0.8572,1.033
0.101719531,0.2814,0.5060,0.8538,1.032
0.105718281,0.2843,0.5094,0.8499,1.031
0.108280209,0.2868,0.5050,0.8396,1.021
0.113019375,0.2921,0.5148,0.8347,1.023
0.115695729,0.2975,0.5157,0.8347,1.025
0.118252084,0.2965,0.5153,0.8279,1.019
0.123107084,0.3044,0.5187,0.8220,1.019
0.128216094,0.3102,0.5236,0.8162,1.018
0.135435521,0.3141,0.5279,0.8147,1.020
0.138222396,0.3170,0.5314,0.8010,1.012
0.142800261,0.3224,0.5353,0.7967,1.013
0.145536979,0.3180,0.5329,0.7937,1.007
0.152045573,0.3175,0.5363,0.7888,1.005
0.155983125,0.3244,0.5353,0.7761,0.997
0.161982813,0.3214,0.5334,0.7736,0.993
0.164892604,0.3146,0.5334,0.7634,0.983
0.16792349,0.3175,0.5294,0.7629,0.981
0.17227125,0.3102,0.5284,0.7614,0.977
0.17547,0.3122,0.5324,0.7580,0.977
0.179163177,0.3078,0.5299,0.7463,0.966
0.191326667,0.3024,0.5363,0.7439,0.966
0.194062708,0.2912,0.5309,0.7292,0.948
0.196640417,0.2912,0.5299,0.7277,0.946
0.204812031,0.2917,0.5309,0.7258,0.945
0.209013802,0.2765,0.5236,0.7146,0.928
0.21414375,0.2755,0.5245,0.7077,0.923
0.216725261,0.2736,0.5226,0.7062,0.920
0.220219792,0.2731,0.5172,0.7004,0.912
0.224658333,0.2682,0.5143,0.6975,0.907
0.229410833,0.2647,0.5128,0.6936,0.902
0.232322396,0.2613,0.5074,0.6955,0.900
0.235301667,0.2569,0.5099,0.6892,0.895
0.239274948,0.2525,0.5074,0.6936,0.896
0.243962292,0.2506,0.5040,0.6979,0.897
0.250682604,0.2501,0.5045,0.6979,0.897
0.253716771,0.2423,0.5001,0.6970,0.891
0.256548542,0.2389,0.4991,0.6960,0.889
0.262077136,0.2325,0.4938,0.7014,0.889
0.26688474,0.2198,0.4928,0.7043,0.887
0.27095099,0.2203,0.4850,0.7102,0.888
0.275374479,0.2169,0.4776,0.7150,0.887
0.277909479,0.2105,0.4733,0.7204,0.887
0.28167099,0.2125,0.4728,0.7243,0.891
0.289163854,0.2056,0.4698,0.7272,0.890
0.292782761,0.1939,0.4615,0.7287,0.884
0.296229375,0.1866,0.4601,0.7307,0.883
0.303204219,0.1856,0.4567,0.7297,0.881
0.307985208,0.1754,0.4547,0.7365,0.883
0.312610521,0.1724,0.4557,0.7429,0.888
0.316133594,0.1734,0.4547,0.7439,0.889
0.321375781,0.1724,0.4498,0.7424,0.885
0.323801302,0.1744,0.4527,0.7439,0.888
0.332204844,0.1710,0.4567,0.7399,0.886
0.335877708,0.1739,0.4571,0.7448,0.891
0.340038281,0.1700,0.4601,0.7439,0.891
0.346278229,0.1793,0.4610,0.7448,0.894
0.350438594,0.1788,0.4645,0.7541,0.904
0.353013594,0.1837,0.4669,0.7565,0.908
0.358315261,0.1895,0.4635,0.7624,0.912
0.362291458,0.1959,0.4703,0.7673,0.921
0.366665677,0.2032,0.4689,0.7712,0.925
0.369487865,0.2096,0.4640,0.7780,0.930
0.372065208,0.2076,0.4620,0.7751,0.926
0.375983333,0.2144,0.4567,0.7795,0.929
0.379379844,0.2183,0.4596,0.7819,0.933
0.389151823,0.2198,0.4557,0.7815,0.931
0.391963698,0.2320,0.4542,0.7839,0.935
0.39723776,0.2335,0.4454,0.7834,0.931
0.400995677,0.2432,0.4508,0.7805,0.934
0.404502292,0.2432,0.4537,0.7732,0.929
0.408180625,0.2442,0.4557,0.7736,0.930
0.411843802,0.2423,0.4567,0.7624,0.921
0.41604026,0.2457,0.4620,0.7600,0.923
0.419220885,0.2462,0.4635,0.7468,0.913
0.423900365,0.2447,0.4640,0.7351,0.903
0.428557135,0.2457,0.4679,0.7204,0.893
0.432152292,0.2437,0.4664,0.7175,0.890
0.436267917,0.2403,0.4733,0.7111,0.887
0.439135417,0.2452,0.4737,0.7058,0.885
0.443766875,0.2408,0.4860,0.7004,0.886
0.446524896,0.2393,0.4889,0.7009,0.887
0.4526075,0.2403,0.4967,0.6984,0.890
0.456639896,0.2301,0.5104,0.6984,0.895
0.459115833,0.2325,0.5113,0.6965,0.895
0.465697344,0.2271,0.5172,0.6906,0.892
0.468821615,0.2271,0.5236,0.6970,0.901
0.473089792,0.2276,0.5284,0.6911,0.899
0.477664792,0.2354,0.5279,0.6857,0.897
0.489438385,0.2359,0.5265,0.6852,0.896
0.493134271,0.2457,0.5226,0.6657,0.881
0.505445365,0.2525,0.5201,0.6588,0.877
0.510326302,0.2501,0.5211,0.6300,0.855
0.513055573,0.2530,0.5221,0.6256,0.853
0.517583125,0.2432,0.5201,0.6163,0.842
0.520405156,0.2389,0.5236,0.6100,0.839
0.525133333,0.2345,0.5231,0.6105,0.837
0.532010781,0.2140,0.5265,0.5992,0.826
0.534673906,0.2003,0.5279,0.5914,0.818
0.537397083,0.1925,0.5275,0.5944,0.818
