# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.001345052,0.0336,0.5534,0.8010,0.974
0.005746406,0.0562,0.5485,0.7976,0.970
0.009392031,0.0576,0.5441,0.7957,0.966
0.013903594,0.0620,0.5461,0.7967,0.968
0.017869323,0.0591,0.5388,0.7927,0.960
0.021403021,0.0497,0.5383,0.7790,0.948
0.02773,0.0380,0.5422,0.7678,0.941
0.03162849,0.0248,0.5436,0.7580,0.933
0.036037604,0.0131,0.5427,0.7605,0.934
0.038836719,0.0117,0.5427,0.7614,0.935
0.04461974,0.0073,0.5436,0.7614,0.936
0.049320469,0.0117,0.5397,0.7668,0.938
0.053940677,0.0209,0.5402,0.7605,0.933
0.057198594,0.0244,0.5422,0.7590,0.933
0.059526042,0.0283,0.5417,0.7605,0.934
0.062639792,0.0312,0.5441,0.7629,0.938
0.066705677,0.0371,0.5407,0.7619,0.935
0.071465573,0.0341,0.5348,0.7678,0.936
0.076338385,0.0317,0.5329,0.7639,0.932
0.079616302,0.0283,0.5284,0.7668,0.932
0.083164427,0.0234,0.5236,0.7668,0.929
0.087999479,0.0146,0.5143,0.7727,0.928
0.090600521,0.0107,0.5143,0.7775,0.932
0.095613646,0.0073,0.5138,0.7815,0.935
0.100000677,-0.0005,0.5138,0.7902,0.943
0.102876979,0.0009,0.5143,0.7937,0.946
0.107677031,0.0092,0.5113,0.7883,0.940
0.111069323,0.0073,0.5133,0.7912,0.943
0.115247448,0.0136,0.5104,0.7981,0.947
0.120568906,0.0078,0.5148,0.8030,0.954
0.1252375,0.0063,0.5143,0.8108,0.960
0.128168958,0.0043,0.5138,0.8098,0.959
0.13272625,0.0097,0.5079,0.8128,0.958
0.137285364,0.0151,0.5011,0.8191,0.960
0.13980625,0.0170,0.5045,0.8216,0.964
0.145136979,0.0224,0.5094,0.8284,0.973
0.150657604,0.0273,0.4982,0.8406,0.978
0.155434375,0.0268,0.4996,0.8435,0.981
0.161367969,0.0395,0.5011,0.8562,0.993
0.165018489,0.0400,0.5089,0.8670,1.006
0.169713489,0.0444,0.5099,0.8738,1.013
0.175465781,0.0375,0.5167,0.8816,1.023
0.179378802,0.0346,0.5182,0.8836,1.025
0.183164323,0.0253,0.5162,0.8860,1.026
0.186935156,0.0224,0.5182,0.8885,1.029
0.197416719,0.0082,0.5162,0.8875,1.027
0.202962292,-0.0074,0.5221,0.8870,1.029
0.206845104,-0.0235,0.5250,0.8889,1.033
0.21448,-0.0294,0.5250,0.8880,1.032
0.219103281,-0.0406,0.5363,0.8821,1.033
0.224282708,-0.0513,0.5368,0.8792,1.031
