# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.002166666,-0.0846,0.3682,0.9720,1.043
0.005197395,-0.0621,0.3692,0.9896,1.058
0.010366718,-0.0338,0.3662,0.9960,1.062
0.015044687,-0.0206,0.3721,0.9979,1.065
0.017810781,0.0053,0.3736,0.9999,1.067
0.02140151,0.0200,0.3745,1.0013,1.069
0.024440468,0.0390,0.3824,1.0092,1.080
0.030908177,0.0601,0.3892,1.0082,1.082
0.035842812,0.0737,0.3902,1.0077,1.083
0.039718698,0.0796,0.3931,1.0013,1.079
0.044238125,0.0811,0.3960,0.9847,1.064
0.04798776,0.0825,0.3980,0.9828,1.064
0.052933229,0.0757,0.4009,0.9740,1.056
0.05675125,0.0689,0.3995,0.9598,1.042
0.059215312,0.0669,0.4019,0.9559,1.039
0.063144791,0.0615,0.4019,0.9515,1.035
0.067558906,0.0552,0.3980,0.9486,1.030
0.071672916,0.0444,0.4004,0.9408,1.023
0.076206927,0.0454,0.4019,0.9422,1.025
0.080066614,0.0385,0.4073,0.9364,1.022
0.084102604,0.0351,0.4053,0.9349,1.020
0.09055526,0.0258,0.4053,0.9251,1.010
0.093833073,0.0185,0.4034,0.9247,1.009
0.096429635,0.0146,0.4043,0.9183,1.003
0.101529218,0.0161,0.4034,0.9129,0.998
0.10597776,0.0136,0.4019,0.9027,0.988
0.110969687,0.0068,0.4068,0.8997,0.987
0.115660312,0.0121,0.4126,0.8914,0.982
0.119943385,0.0082,0.4170,0.8938,0.986
0.12340526,0.0068,0.4200,0.8968,0.990
0.127063229,0.0068,0.4234,0.8929,0.988
0.129647604,0.0107,0.4209,0.8889,0.984
0.133293645,0.0156,0.4224,0.8880,0.983
0.136376041,0.0195,0.4219,0.8865,0.982
0.14169401,0.0258,0.4244,0.8865,0.983
0.151450312,0.0317,0.4293,0.8889,0.988
0.156039895,0.0444,0.4440,0.8772,0.984
0.160089114,0.0439,0.4430,0.8738,0.981
0.171958593,0.0458,0.4469,0.8728,0.982
0.176730156,0.0654,0.4332,0.8352,0.943
0.180215729,0.0679,0.4376,0.8240,0.935
0.185476562,0.0674,0.4415,0.8123,0.927
0.189887135,0.0713,0.4430,0.8098,0.926
0.195535104,0.0747,0.4493,0.8074,0.927
0.200127395,0.0767,0.4562,0.8157,0.938
0.202664375,0.0776,0.4567,0.8191,0.941
0.207000052,0.0723,0.4567,0.8382,0.957
0.210176666,0.0679,0.4610,0.8411,0.962
0.213863593,0.0674,0.4596,0.8484,0.967
0.216957812,0.0718,0.4537,0.8660,0.980
