# Target Sample Rate: 400 Hz
time,gFx,gFy,gFz,TgF
0.002599583,0.2868,0.6589,0.7404,1.032
0.006717344,0.2687,0.6575,0.7937,1.065
0.010554635,0.2638,0.6531,0.7991,1.065
0.014095052,0.2599,0.6555,0.7981,1.065
0.017239948,0.2589,0.6531,0.8020,1.066
0.021483073,0.2599,0.6467,0.7976,1.059
0.024129583,0.2599,0.6492,0.8015,1.064
0.029093646,0.2677,0.6443,0.8030,1.064
0.035707813,0.2707,0.6438,0.8015,1.063
0.042655573,0.2770,0.6438,0.8015,1.065
0.047298073,0.2834,0.6409,0.7922,1.058
0.050797344,0.2843,0.6409,0.7873,1.054
0.054069375,0.2814,0.6404,0.7878,1.054
0.059110833,0.2843,0.6404,0.7790,1.048
0.063574063,0.2873,0.6325,0.7702,1.037
0.06844375,0.2882,0.6359,0.7595,1.032
0.073133073,0.2882,0.6315,0.7448,1.018
0.076052813,0.2873,0.6310,0.7424,1.016
0.082023438,0.2877,0.6296,0.7307,1.007
0.085606719,0.2809,0.6227,0.7258,0.997
0.091226771,0.2794,0.6232,0.7219,0.994
0.096514948,0.2702,0.6271,0.7102,0.985
0.100419635,0.2658,0.6276,0.7082,0.983
0.103733385,0.2618,0.6252,0.7097,0.981
0.108075469,0.2545,0.6281,0.7038,0.977
0.112883438,0.2501,0.6335,0.7023,0.978
0.116669323,0.2486,0.6350,0.6989,0.976
0.120775208,0.2408,0.6340,0.6906,0.968
0.125464167,0.2374,0.6370,0.6876,0.967
0.130069792,0.2271,0.6354,0.6857,0.962
0.132969271,0.2227,0.6354,0.6852,0.961
0.136133646,0.2140,0.6306,0.6842,0.955
0.14040276,0.2110,0.6315,0.6813,0.953
0.144820156,0.2022,0.6247,0.6808,0.946
0.151999531,0.1993,0.6193,0.6808,0.942
0.158048958,0.1822,0.6130,0.6813,0.934
0.161902812,0.1778,0.6013,0.6803,0.925
0.166758802,0.1827,0.6027,0.6798,0.927
0.171909271,0.1744,0.5988,0.6779,0.921
0.174558542,0.1700,0.5954,0.6793,0.919
0.180394167,0.1685,0.5954,0.6803,0.920
0.184514062,0.1622,0.5954,0.6803,0.918
0.187629062,0.1646,0.5998,0.6774,0.920
0.191954531,0.1612,0.6013,0.6788,0.921
0.194484323,0.1524,0.5998,0.6798,0.919
0.199092292,0.1563,0.6032,0.6774,0.920
0.201913958,0.1504,0.6022,0.6769,0.918
0.204588281,0.1421,0.6037,0.6803,0.921
0.20730875,0.1485,0.6022,0.6788,0.920
0.212508437,0.1509,0.6013,0.6803,0.920
0.216499062,0.1519,0.6057,0.6730,0.918
0.219117083,0.1509,0.5974,0.6744,0.913
0.224251875,0.1475,0.6052,0.6793,0.922
0.228957083,0.1480,0.6027,0.6779,0.919
0.232172292,0.1494,0.6052,0.6837,0.925
0.235783229,0.1563,0.6066,0.6940,0.935
0.240649583,0.1671,0.6071,0.7077,0.947
0.244575052,0.1729,0.6149,0.7092,0.954
0.251121302,0.1778,0.6154,0.7238,0.967
0.253889792,0.1803,0.6169,0.7253,0.969
0.258596302,0.1837,0.6188,0.7272,0.972
0.265410521,0.1886,0.6144,0.7263,0.970
0.268795781,0.1890,0.6144,0.7282,0.971
0.273307917,0.1910,0.6091,0.7302,0.970
0.275850156,0.1930,0.6037,0.7282,0.965
0.281943021,0.1978,0.5939,0.7243,0.957
0.285809115,0.1959,0.5939,0.7268,0.959
0.288751979,0.2003,0.5886,0.7268,0.956
0.292869792,0.2066,0.5803,0.7253,0.952
0.296049948,0.2052,0.5798,0.7248,0.951
0.300140625,0.2091,0.5812,0.7189,0.948
0.303091198,0.2061,0.5807,0.7180,0.946
0.305611094,0.2076,0.5842,0.7209,0.951
0.308166198,0.2022,0.5832,0.7189,0.948
0.313080052,0.1959,0.5861,0.7175,0.947
0.31615974,0.1925,0.5886,0.7243,0.953
0.319149479,0.1900,0.5890,0.7287,0.956
0.322599271,0.1925,0.5949,0.7385,0.968
0.328305312,0.1871,0.5983,0.7370,0.968
0.331518021,0.1851,0.6003,0.7380,0.969
0.335064844,0.1822,0.6057,0.7341,0.969
0.340394687,0.1812,0.6027,0.7307,0.964
0.3447925,0.1827,0.6003,0.7341,0.966
0.356077812,0.1832,0.6027,0.7321,0.966
0.359517708,0.1832,0.5900,0.7277,0.955
